# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=128", "--temperature=1", "--temp_decay=1", "--one_hot=1", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=1, optimizer='adam', preemptable=False, random_seed=394732508, receiver_embed_dim=128, save_run=0, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=394732508, receiver_embed_dim=128, save_run=False, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.3838863372802734, acc=0.052000001072883606, loss=3.3838863372802734
test: epoch 1, loss 3.0475919246673584, acc=0.07500000298023224, loss=3.0475919246673584
train: epoch 2, loss 2.256960868835449, acc=0.16772222518920898, loss=2.256960868835449
test: epoch 2, loss 2.283522367477417, acc=0.1388888955116272, loss=2.283522367477417
train: epoch 3, loss 1.781010389328003, acc=0.28094443678855896, loss=1.781010389328003
test: epoch 3, loss 2.0245981216430664, acc=0.1805555522441864, loss=2.0245981216430664
train: epoch 4, loss 1.5664039850234985, acc=0.3411666750907898, loss=1.5664039850234985
test: epoch 4, loss 2.110699415206909, acc=0.20555555820465088, loss=2.110699415206909
train: epoch 5, loss 1.4358704090118408, acc=0.39072221517562866, loss=1.4358704090118408
test: epoch 5, loss 2.047879695892334, acc=0.2222222238779068, loss=2.047879695892334
train: epoch 6, loss 1.36787748336792, acc=0.41972222924232483, loss=1.36787748336792
test: epoch 6, loss 2.110124349594116, acc=0.2222222238779068, loss=2.110124349594116
train: epoch 7, loss 1.3152871131896973, acc=0.445166677236557, loss=1.3152871131896973
test: epoch 7, loss 2.1347880363464355, acc=0.2222222238779068, loss=2.1347880363464355
train: epoch 8, loss 1.2677263021469116, acc=0.4629444479942322, loss=1.2677263021469116
test: epoch 8, loss 2.0089199542999268, acc=0.23055554926395416, loss=2.0089199542999268
train: epoch 9, loss 1.2261502742767334, acc=0.4754444360733032, loss=1.2261502742767334
test: epoch 9, loss 2.108046293258667, acc=0.24444444477558136, loss=2.108046293258667
train: epoch 10, loss 1.1851708889007568, acc=0.4991111159324646, loss=1.1851708889007568
test: epoch 10, loss 2.1090853214263916, acc=0.21944443881511688, loss=2.1090853214263916
train: epoch 11, loss 1.1514713764190674, acc=0.5120000243186951, loss=1.1514713764190674
test: epoch 11, loss 2.150219202041626, acc=0.2222222238779068, loss=2.150219202041626
train: epoch 12, loss 1.1273953914642334, acc=0.5214444398880005, loss=1.1273953914642334
test: epoch 12, loss 2.2264931201934814, acc=0.25555557012557983, loss=2.2264931201934814
train: epoch 13, loss 1.1176854372024536, acc=0.5312222242355347, loss=1.1176854372024536
test: epoch 13, loss 2.2175257205963135, acc=0.24166665971279144, loss=2.2175257205963135
train: epoch 14, loss 1.096278190612793, acc=0.5329999923706055, loss=1.096278190612793
test: epoch 14, loss 2.2063562870025635, acc=0.27222222089767456, loss=2.2063562870025635
train: epoch 15, loss 1.0763260126113892, acc=0.5391111373901367, loss=1.0763260126113892
test: epoch 15, loss 2.1496925354003906, acc=0.24722221493721008, loss=2.1496925354003906
train: epoch 16, loss 1.046258568763733, acc=0.5556111335754395, loss=1.046258568763733
test: epoch 16, loss 2.2442867755889893, acc=0.25, loss=2.2442867755889893
train: epoch 17, loss 1.0390753746032715, acc=0.5556111335754395, loss=1.0390753746032715
test: epoch 17, loss 2.2639126777648926, acc=0.26944443583488464, loss=2.2639126777648926
train: epoch 18, loss 1.0414541959762573, acc=0.5575555562973022, loss=1.0414541959762573
test: epoch 18, loss 2.273149013519287, acc=0.2611111104488373, loss=2.273149013519287
train: epoch 19, loss 1.014072299003601, acc=0.5680555701255798, loss=1.014072299003601
test: epoch 19, loss 2.2257933616638184, acc=0.2750000059604645, loss=2.2257933616638184
train: epoch 20, loss 1.0039637088775635, acc=0.5689444541931152, loss=1.0039637088775635
test: epoch 20, loss 2.280075788497925, acc=0.26944443583488464, loss=2.280075788497925
train: epoch 21, loss 0.9957088232040405, acc=0.5731111168861389, loss=0.9957088232040405
test: epoch 21, loss 2.1718175411224365, acc=0.2666666805744171, loss=2.1718175411224365
train: epoch 22, loss 0.972646176815033, acc=0.5797777771949768, loss=0.972646176815033
test: epoch 22, loss 2.192399740219116, acc=0.27222222089767456, loss=2.192399740219116
train: epoch 23, loss 0.9639495015144348, acc=0.5786111354827881, loss=0.9639495015144348
test: epoch 23, loss 2.2110118865966797, acc=0.27222222089767456, loss=2.2110118865966797
train: epoch 24, loss 0.9622076749801636, acc=0.582111120223999, loss=0.9622076749801636
test: epoch 24, loss 2.283193588256836, acc=0.2666666805744171, loss=2.283193588256836
train: epoch 25, loss 0.9517312049865723, acc=0.5886111259460449, loss=0.9517312049865723
test: epoch 25, loss 2.1467366218566895, acc=0.28611111640930176, loss=2.1467366218566895
train: epoch 26, loss 0.9340831637382507, acc=0.5896666646003723, loss=0.9340831637382507
test: epoch 26, loss 2.2332334518432617, acc=0.2777777910232544, loss=2.2332334518432617
train: epoch 27, loss 0.9184593558311462, acc=0.593666672706604, loss=0.9184593558311462
test: epoch 27, loss 2.208127975463867, acc=0.28611111640930176, loss=2.208127975463867
train: epoch 28, loss 0.9325650334358215, acc=0.5928333401679993, loss=0.9325650334358215
test: epoch 28, loss 2.351149797439575, acc=0.28611111640930176, loss=2.351149797439575
train: epoch 29, loss 0.9084081053733826, acc=0.5998888611793518, loss=0.9084081053733826
test: epoch 29, loss 2.3412420749664307, acc=0.2916666567325592, loss=2.3412420749664307
train: epoch 30, loss 0.8963907957077026, acc=0.6038333177566528, loss=0.8963907957077026
test: epoch 30, loss 2.41973614692688, acc=0.28611111640930176, loss=2.41973614692688
train: epoch 31, loss 0.905286431312561, acc=0.5998888611793518, loss=0.905286431312561
test: epoch 31, loss 2.404196262359619, acc=0.2750000059604645, loss=2.404196262359619
train: epoch 32, loss 0.8961862325668335, acc=0.6082777976989746, loss=0.8961862325668335
test: epoch 32, loss 2.175727128982544, acc=0.3027777671813965, loss=2.175727128982544
train: epoch 33, loss 0.8715627789497375, acc=0.6107777953147888, loss=0.8715627789497375
test: epoch 33, loss 2.1489098072052, acc=0.28611111640930176, loss=2.1489098072052
train: epoch 34, loss 0.8840159177780151, acc=0.6065000295639038, loss=0.8840159177780151
test: epoch 34, loss 2.4794275760650635, acc=0.3055555522441864, loss=2.4794275760650635
train: epoch 35, loss 0.8897920846939087, acc=0.6044444441795349, loss=0.8897920846939087
test: epoch 35, loss 2.263390064239502, acc=0.3055555522441864, loss=2.263390064239502
train: epoch 36, loss 0.8771365880966187, acc=0.6100555658340454, loss=0.8771365880966187
test: epoch 36, loss 2.2087242603302, acc=0.31388887763023376, loss=2.2087242603302
train: epoch 37, loss 0.8724057674407959, acc=0.6087222099304199, loss=0.8724057674407959
test: epoch 37, loss 2.3120083808898926, acc=0.31388887763023376, loss=2.3120083808898926
train: epoch 38, loss 0.8558767437934875, acc=0.6140000224113464, loss=0.8558767437934875
test: epoch 38, loss 2.162520408630371, acc=0.2944444417953491, loss=2.162520408630371
