# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=128", "--temperature=1", "--temp_decay=0.995", "--one_hot=0", "--n_layers=1"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=0, optimizer='adam', preemptable=False, random_seed=1959905216, receiver_embed_dim=128, save_run=0, temp_decay=0.995, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=False, optimizer='adam', preemptable=False, random_seed=1959905216, receiver_embed_dim=128, save_run=False, temp_decay=0.995, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.1780588626861572, acc=0.07266666740179062, loss=3.1780588626861572
test: epoch 1, loss 3.7315874099731445, acc=0.05277777835726738, loss=3.7315874099731445
train: epoch 2, loss 2.8481509685516357, acc=0.10466666519641876, loss=2.8481509685516357
test: epoch 2, loss 3.922316551208496, acc=0.05277777835726738, loss=3.922316551208496
train: epoch 3, loss 2.7475483417510986, acc=0.12177778035402298, loss=2.7475483417510986
test: epoch 3, loss 4.008711338043213, acc=0.05277777835726738, loss=4.008711338043213
train: epoch 4, loss 2.707698345184326, acc=0.12655556201934814, loss=2.707698345184326
test: epoch 4, loss 4.061603546142578, acc=0.0555555559694767, loss=4.061603546142578
train: epoch 5, loss 2.664837121963501, acc=0.13466666638851166, loss=2.664837121963501
test: epoch 5, loss 4.17006254196167, acc=0.0555555559694767, loss=4.17006254196167
train: epoch 6, loss 2.636276960372925, acc=0.13611111044883728, loss=2.636276960372925
test: epoch 6, loss 4.094753265380859, acc=0.0555555559694767, loss=4.094753265380859
train: epoch 7, loss 2.6140990257263184, acc=0.13422222435474396, loss=2.6140990257263184
test: epoch 7, loss 4.17155647277832, acc=0.05277777835726738, loss=4.17155647277832
train: epoch 8, loss 2.5961039066314697, acc=0.14383333921432495, loss=2.5961039066314697
test: epoch 8, loss 4.1658124923706055, acc=0.05277777835726738, loss=4.1658124923706055
train: epoch 9, loss 2.592763900756836, acc=0.13777777552604675, loss=2.592763900756836
test: epoch 9, loss 4.198517799377441, acc=0.05277777835726738, loss=4.198517799377441
train: epoch 10, loss 2.571915626525879, acc=0.1449444442987442, loss=2.571915626525879
test: epoch 10, loss 4.165383815765381, acc=0.05000000074505806, loss=4.165383815765381
train: epoch 11, loss 2.5577337741851807, acc=0.14705555140972137, loss=2.5577337741851807
test: epoch 11, loss 4.129371166229248, acc=0.0555555559694767, loss=4.129371166229248
train: epoch 12, loss 2.549191474914551, acc=0.14683333039283752, loss=2.549191474914551
test: epoch 12, loss 4.1562886238098145, acc=0.05833333358168602, loss=4.1562886238098145
train: epoch 13, loss 2.5402610301971436, acc=0.14794445037841797, loss=2.5402610301971436
test: epoch 13, loss 4.158985614776611, acc=0.0555555559694767, loss=4.158985614776611
train: epoch 14, loss 2.528804063796997, acc=0.15016666054725647, loss=2.528804063796997
test: epoch 14, loss 4.177094459533691, acc=0.0555555559694767, loss=4.177094459533691
train: epoch 15, loss 2.521388530731201, acc=0.15111111104488373, loss=2.521388530731201
test: epoch 15, loss 4.29038143157959, acc=0.0416666679084301, loss=4.29038143157959
train: epoch 16, loss 2.5230798721313477, acc=0.14933332800865173, loss=2.5230798721313477
test: epoch 16, loss 3.918670177459717, acc=0.06388889253139496, loss=3.918670177459717
train: epoch 17, loss 2.505300521850586, acc=0.15755555033683777, loss=2.505300521850586
test: epoch 17, loss 4.1343183517456055, acc=0.0555555559694767, loss=4.1343183517456055
train: epoch 18, loss 2.5068013668060303, acc=0.15127778053283691, loss=2.5068013668060303
test: epoch 18, loss 4.09235143661499, acc=0.05277777835726738, loss=4.09235143661499
