# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=128", "--temperature=1.5", "--temp_decay=1", "--one_hot=0", "--n_layers=1"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=0, optimizer='adam', preemptable=False, random_seed=1532417315, receiver_embed_dim=128, save_run=0, temp_decay=1.0, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=False, optimizer='adam', preemptable=False, random_seed=1532417315, receiver_embed_dim=128, save_run=False, temp_decay=1.0, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.079575300216675, acc=0.08416666835546494, loss=3.079575300216675
test: epoch 1, loss 4.913567066192627, acc=0.0416666679084301, loss=4.913567066192627
train: epoch 2, loss 2.646601438522339, acc=0.14399999380111694, loss=2.646601438522339
test: epoch 2, loss 5.600788116455078, acc=0.04444444552063942, loss=5.600788116455078
train: epoch 3, loss 2.511246919631958, acc=0.15600000321865082, loss=2.511246919631958
test: epoch 3, loss 6.295692443847656, acc=0.03611111268401146, loss=6.295692443847656
train: epoch 4, loss 2.4337542057037354, acc=0.17072221636772156, loss=2.4337542057037354
test: epoch 4, loss 6.635347843170166, acc=0.03888889029622078, loss=6.635347843170166
train: epoch 5, loss 2.3926703929901123, acc=0.1742222160100937, loss=2.3926703929901123
test: epoch 5, loss 6.825156211853027, acc=0.03333333507180214, loss=6.825156211853027
train: epoch 6, loss 2.3411569595336914, acc=0.18827778100967407, loss=2.3411569595336914
test: epoch 6, loss 7.044127464294434, acc=0.03333333507180214, loss=7.044127464294434
train: epoch 7, loss 2.3083012104034424, acc=0.193555548787117, loss=2.3083012104034424
test: epoch 7, loss 7.195318222045898, acc=0.03055555559694767, loss=7.195318222045898
train: epoch 8, loss 2.2771506309509277, acc=0.19661110639572144, loss=2.2771506309509277
test: epoch 8, loss 7.421557903289795, acc=0.0416666679084301, loss=7.421557903289795
train: epoch 9, loss 2.2513837814331055, acc=0.20555555820465088, loss=2.2513837814331055
test: epoch 9, loss 7.488433361053467, acc=0.03333333507180214, loss=7.488433361053467
train: epoch 10, loss 2.227501392364502, acc=0.21183332800865173, loss=2.227501392364502
test: epoch 10, loss 7.615832805633545, acc=0.02777777798473835, loss=7.615832805633545
train: epoch 11, loss 2.2022316455841064, acc=0.2130555510520935, loss=2.2022316455841064
test: epoch 11, loss 7.878045082092285, acc=0.02777777798473835, loss=7.878045082092285
train: epoch 12, loss 2.1954824924468994, acc=0.2154444456100464, loss=2.1954824924468994
test: epoch 12, loss 7.713266372680664, acc=0.03333333507180214, loss=7.713266372680664
train: epoch 13, loss 2.1701889038085938, acc=0.2231111079454422, loss=2.1701889038085938
test: epoch 13, loss 7.948309421539307, acc=0.03055555559694767, loss=7.948309421539307
train: epoch 14, loss 2.1543900966644287, acc=0.2269444465637207, loss=2.1543900966644287
test: epoch 14, loss 7.850221157073975, acc=0.03333333507180214, loss=7.850221157073975
train: epoch 15, loss 2.1295526027679443, acc=0.23199999332427979, loss=2.1295526027679443
test: epoch 15, loss 8.15032958984375, acc=0.0416666679084301, loss=8.15032958984375
train: epoch 16, loss 2.1236350536346436, acc=0.23016667366027832, loss=2.1236350536346436
test: epoch 16, loss 8.189864158630371, acc=0.03055555559694767, loss=8.189864158630371
train: epoch 17, loss 2.1150119304656982, acc=0.2370000034570694, loss=2.1150119304656982
test: epoch 17, loss 8.197199821472168, acc=0.03333333507180214, loss=8.197199821472168
train: epoch 18, loss 2.0972719192504883, acc=0.2381666600704193, loss=2.0972719192504883
test: epoch 18, loss 8.226765632629395, acc=0.03333333507180214, loss=8.226765632629395
train: epoch 19, loss 2.088177442550659, acc=0.23894444108009338, loss=2.088177442550659
test: epoch 19, loss 8.197714805603027, acc=0.02500000037252903, loss=8.197714805603027
train: epoch 20, loss 2.074183940887451, acc=0.24383333325386047, loss=2.074183940887451
test: epoch 20, loss 8.159165382385254, acc=0.02777777798473835, loss=8.159165382385254
train: epoch 21, loss 2.070672035217285, acc=0.24738888442516327, loss=2.070672035217285
test: epoch 21, loss 8.397793769836426, acc=0.02500000037252903, loss=8.397793769836426
train: epoch 22, loss 2.0478174686431885, acc=0.24872222542762756, loss=2.0478174686431885
test: epoch 22, loss 8.411079406738281, acc=0.02500000037252903, loss=8.411079406738281
train: epoch 23, loss 2.0422229766845703, acc=0.25316667556762695, loss=2.0422229766845703
test: epoch 23, loss 8.174895286560059, acc=0.03333333507180214, loss=8.174895286560059
train: epoch 24, loss 2.0326619148254395, acc=0.2517777681350708, loss=2.0326619148254395
test: epoch 24, loss 8.316793441772461, acc=0.03611111268401146, loss=8.316793441772461
train: epoch 25, loss 2.028186082839966, acc=0.2585555613040924, loss=2.028186082839966
test: epoch 25, loss 8.47727108001709, acc=0.02777777798473835, loss=8.47727108001709
train: epoch 26, loss 2.005953550338745, acc=0.25822222232818604, loss=2.005953550338745
test: epoch 26, loss 8.66301155090332, acc=0.03055555559694767, loss=8.66301155090332
train: epoch 27, loss 2.001394033432007, acc=0.2592777907848358, loss=2.001394033432007
test: epoch 27, loss 8.59564208984375, acc=0.02500000037252903, loss=8.59564208984375
train: epoch 28, loss 2.000063896179199, acc=0.26161110401153564, loss=2.000063896179199
test: epoch 28, loss 8.670146942138672, acc=0.02777777798473835, loss=8.670146942138672
train: epoch 29, loss 1.9882264137268066, acc=0.27016666531562805, loss=1.9882264137268066
test: epoch 29, loss 8.408960342407227, acc=0.03055555559694767, loss=8.408960342407227
train: epoch 30, loss 1.9774373769760132, acc=0.26738888025283813, loss=1.9774373769760132
test: epoch 30, loss 8.145174026489258, acc=0.02777777798473835, loss=8.145174026489258
train: epoch 31, loss 1.958983302116394, acc=0.26988887786865234, loss=1.958983302116394
test: epoch 31, loss 8.532838821411133, acc=0.03055555559694767, loss=8.532838821411133
train: epoch 32, loss 1.9629420042037964, acc=0.2765555679798126, loss=1.9629420042037964
test: epoch 32, loss 8.315542221069336, acc=0.03055555559694767, loss=8.315542221069336
train: epoch 33, loss 1.9491565227508545, acc=0.27844443917274475, loss=1.9491565227508545
test: epoch 33, loss 8.625143051147461, acc=0.02777777798473835, loss=8.625143051147461
train: epoch 34, loss 1.9480726718902588, acc=0.2718888819217682, loss=1.9480726718902588
test: epoch 34, loss 8.702190399169922, acc=0.02777777798473835, loss=8.702190399169922
train: epoch 35, loss 1.9379225969314575, acc=0.2754444479942322, loss=1.9379225969314575
test: epoch 35, loss 8.750418663024902, acc=0.03333333507180214, loss=8.750418663024902
train: epoch 36, loss 1.9315394163131714, acc=0.2800000011920929, loss=1.9315394163131714
test: epoch 36, loss 8.857523918151855, acc=0.02500000037252903, loss=8.857523918151855
train: epoch 37, loss 1.9153764247894287, acc=0.28522223234176636, loss=1.9153764247894287
test: epoch 37, loss 8.53489875793457, acc=0.03055555559694767, loss=8.53489875793457
train: epoch 38, loss 1.9153344631195068, acc=0.2833888828754425, loss=1.9153344631195068
test: epoch 38, loss 8.709277153015137, acc=0.03055555559694767, loss=8.709277153015137
train: epoch 39, loss 1.9048724174499512, acc=0.2881111204624176, loss=1.9048724174499512
test: epoch 39, loss 8.422560691833496, acc=0.03888889029622078, loss=8.422560691833496
train: epoch 40, loss 1.882394552230835, acc=0.29044443368911743, loss=1.882394552230835
test: epoch 40, loss 9.029022216796875, acc=0.02777777798473835, loss=9.029022216796875
train: epoch 41, loss 1.893431544303894, acc=0.28850001096725464, loss=1.893431544303894
test: epoch 41, loss 8.60923957824707, acc=0.03055555559694767, loss=8.60923957824707
train: epoch 42, loss 1.8853137493133545, acc=0.2892777919769287, loss=1.8853137493133545
test: epoch 42, loss 8.520059585571289, acc=0.03055555559694767, loss=8.520059585571289
train: epoch 43, loss 1.891613483428955, acc=0.2904999852180481, loss=1.891613483428955
test: epoch 43, loss 8.437750816345215, acc=0.02777777798473835, loss=8.437750816345215
train: epoch 44, loss 1.876784086227417, acc=0.29438889026641846, loss=1.876784086227417
test: epoch 44, loss 8.829221725463867, acc=0.02777777798473835, loss=8.829221725463867
train: epoch 45, loss 1.879387378692627, acc=0.30044445395469666, loss=1.879387378692627
test: epoch 45, loss 8.709790229797363, acc=0.02777777798473835, loss=8.709790229797363
train: epoch 46, loss 1.8597829341888428, acc=0.3018888831138611, loss=1.8597829341888428
test: epoch 46, loss 8.791131019592285, acc=0.03333333507180214, loss=8.791131019592285
train: epoch 47, loss 1.8540980815887451, acc=0.30566665530204773, loss=1.8540980815887451
test: epoch 47, loss 8.757387161254883, acc=0.03333333507180214, loss=8.757387161254883
train: epoch 48, loss 1.850325107574463, acc=0.3043888807296753, loss=1.850325107574463
test: epoch 48, loss 9.0029296875, acc=0.02500000037252903, loss=9.0029296875
train: epoch 49, loss 1.8481701612472534, acc=0.3036666810512543, loss=1.8481701612472534
test: epoch 49, loss 9.00181770324707, acc=0.02500000037252903, loss=9.00181770324707
train: epoch 50, loss 1.8459638357162476, acc=0.3106110990047455, loss=1.8459638357162476
test: epoch 50, loss 8.878569602966309, acc=0.02500000037252903, loss=8.878569602966309
train: epoch 51, loss 1.832601547241211, acc=0.30550000071525574, loss=1.832601547241211
test: epoch 51, loss 8.893244743347168, acc=0.02500000037252903, loss=8.893244743347168
train: epoch 52, loss 1.8299105167388916, acc=0.3050000071525574, loss=1.8299105167388916
test: epoch 52, loss 8.837373733520508, acc=0.02222222276031971, loss=8.837373733520508
train: epoch 53, loss 1.8226169347763062, acc=0.3081111013889313, loss=1.8226169347763062
test: epoch 53, loss 8.906487464904785, acc=0.02500000037252903, loss=8.906487464904785
train: epoch 54, loss 1.820762276649475, acc=0.31894445419311523, loss=1.820762276649475
test: epoch 54, loss 9.184627532958984, acc=0.02500000037252903, loss=9.184627532958984
train: epoch 55, loss 1.8217589855194092, acc=0.30711111426353455, loss=1.8217589855194092
test: epoch 55, loss 9.082697868347168, acc=0.02500000037252903, loss=9.082697868347168
train: epoch 56, loss 1.8090957403182983, acc=0.312333345413208, loss=1.8090957403182983
test: epoch 56, loss 9.045381546020508, acc=0.03055555559694767, loss=9.045381546020508
train: epoch 57, loss 1.81606125831604, acc=0.3174999952316284, loss=1.81606125831604
test: epoch 57, loss 9.16662311553955, acc=0.02500000037252903, loss=9.16662311553955
train: epoch 58, loss 1.8101047277450562, acc=0.31477779150009155, loss=1.8101047277450562
test: epoch 58, loss 8.878379821777344, acc=0.02777777798473835, loss=8.878379821777344
train: epoch 59, loss 1.830688714981079, acc=0.31227776408195496, loss=1.830688714981079
test: epoch 59, loss 8.823799133300781, acc=0.02500000037252903, loss=8.823799133300781
train: epoch 60, loss 1.7927019596099854, acc=0.32155555486679077, loss=1.7927019596099854
test: epoch 60, loss 9.248689651489258, acc=0.02500000037252903, loss=9.248689651489258
train: epoch 61, loss 1.8060104846954346, acc=0.32455554604530334, loss=1.8060104846954346
test: epoch 61, loss 9.588862419128418, acc=0.01944444514811039, loss=9.588862419128418
