# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=128", "--temperature=2.0", "--temp_decay=1", "--one_hot=1", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=1, optimizer='adam', preemptable=False, random_seed=2134111715, receiver_embed_dim=128, save_run=0, temp_decay=1.0, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=2134111715, receiver_embed_dim=128, save_run=False, temp_decay=1.0, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.6876296997070312, acc=0.11988888680934906, loss=2.6876296997070312
test: epoch 1, loss 4.790482044219971, acc=0.08611111342906952, loss=4.790482044219971
train: epoch 2, loss 1.476318120956421, acc=0.4152222275733948, loss=1.476318120956421
test: epoch 2, loss 5.823479652404785, acc=0.0972222238779068, loss=5.823479652404785
train: epoch 3, loss 0.8770567774772644, acc=0.6548333168029785, loss=0.8770567774772644
test: epoch 3, loss 4.108793258666992, acc=0.1944444477558136, loss=4.108793258666992
train: epoch 4, loss 0.604177713394165, acc=0.7657777667045593, loss=0.604177713394165
test: epoch 4, loss 4.136173725128174, acc=0.16111111640930176, loss=4.136173725128174
train: epoch 5, loss 0.4723290205001831, acc=0.8160555362701416, loss=0.4723290205001831
test: epoch 5, loss 2.5416371822357178, acc=0.3083333373069763, loss=2.5416371822357178
train: epoch 6, loss 0.3738359808921814, acc=0.8551666736602783, loss=0.3738359808921814
test: epoch 6, loss 3.094958543777466, acc=0.3472222089767456, loss=3.094958543777466
train: epoch 7, loss 0.30854904651641846, acc=0.8821666836738586, loss=0.30854904651641846
test: epoch 7, loss 3.569103717803955, acc=0.2888889014720917, loss=3.569103717803955
train: epoch 8, loss 0.2881433665752411, acc=0.8945000171661377, loss=0.2881433665752411
test: epoch 8, loss 3.0994644165039062, acc=0.30000001192092896, loss=3.0994644165039062
train: epoch 9, loss 0.24056880176067352, acc=0.9121111035346985, loss=0.24056880176067352
test: epoch 9, loss 3.1380066871643066, acc=0.3361110985279083, loss=3.1380066871643066
train: epoch 10, loss 0.21192871034145355, acc=0.9281666874885559, loss=0.21192871034145355
test: epoch 10, loss 2.3564693927764893, acc=0.33888888359069824, loss=2.3564693927764893
train: epoch 11, loss 0.2081521898508072, acc=0.9292222261428833, loss=0.2081521898508072
test: epoch 11, loss 2.60518741607666, acc=0.3333333432674408, loss=2.60518741607666
train: epoch 12, loss 0.1738150268793106, acc=0.9400555491447449, loss=0.1738150268793106
test: epoch 12, loss 2.5828239917755127, acc=0.3611111044883728, loss=2.5828239917755127
train: epoch 13, loss 0.17351391911506653, acc=0.9431666731834412, loss=0.17351391911506653
test: epoch 13, loss 2.3623173236846924, acc=0.3638888895511627, loss=2.3623173236846924
train: epoch 14, loss 0.17267873883247375, acc=0.9433333277702332, loss=0.17267873883247375
test: epoch 14, loss 2.2400991916656494, acc=0.375, loss=2.2400991916656494
train: epoch 15, loss 0.15468668937683105, acc=0.9470000267028809, loss=0.15468668937683105
test: epoch 15, loss 2.8477683067321777, acc=0.3305555582046509, loss=2.8477683067321777
train: epoch 16, loss 0.1330336332321167, acc=0.9555555582046509, loss=0.1330336332321167
test: epoch 16, loss 2.1344492435455322, acc=0.4611110985279083, loss=2.1344492435455322
train: epoch 17, loss 0.1411782056093216, acc=0.9536111354827881, loss=0.1411782056093216
test: epoch 17, loss 2.486501693725586, acc=0.4444444477558136, loss=2.486501693725586
train: epoch 18, loss 0.13372185826301575, acc=0.9570000171661377, loss=0.13372185826301575
test: epoch 18, loss 3.005957841873169, acc=0.32499998807907104, loss=3.005957841873169
train: epoch 19, loss 0.12781043350696564, acc=0.9611111283302307, loss=0.12781043350696564
test: epoch 19, loss 2.9163501262664795, acc=0.3638888895511627, loss=2.9163501262664795
train: epoch 20, loss 0.10846452414989471, acc=0.9637777805328369, loss=0.10846452414989471
test: epoch 20, loss 2.1216959953308105, acc=0.4749999940395355, loss=2.1216959953308105
train: epoch 21, loss 0.11496575176715851, acc=0.9631111025810242, loss=0.11496575176715851
test: epoch 21, loss 2.5803773403167725, acc=0.3888888955116272, loss=2.5803773403167725
train: epoch 22, loss 0.09750340133905411, acc=0.9704999923706055, loss=0.09750340133905411
test: epoch 22, loss 2.628894329071045, acc=0.46666666865348816, loss=2.628894329071045
train: epoch 23, loss 0.09466957300901413, acc=0.9714444279670715, loss=0.09466957300901413
test: epoch 23, loss 2.711660861968994, acc=0.42500001192092896, loss=2.711660861968994
train: epoch 24, loss 0.10141423344612122, acc=0.9687777757644653, loss=0.10141423344612122
test: epoch 24, loss 2.6486024856567383, acc=0.46388888359069824, loss=2.6486024856567383
train: epoch 25, loss 0.09797468781471252, acc=0.971833348274231, loss=0.09797468781471252
test: epoch 25, loss 2.633176326751709, acc=0.4277777671813965, loss=2.633176326751709
train: epoch 26, loss 0.09033501148223877, acc=0.9723888635635376, loss=0.09033501148223877
test: epoch 26, loss 2.4866514205932617, acc=0.43888887763023376, loss=2.4866514205932617
train: epoch 27, loss 0.0818915143609047, acc=0.9753333330154419, loss=0.0818915143609047
test: epoch 27, loss 2.967261791229248, acc=0.4194444417953491, loss=2.967261791229248
train: epoch 28, loss 0.07764653861522675, acc=0.975944459438324, loss=0.07764653861522675
test: epoch 28, loss 2.175956964492798, acc=0.46666666865348816, loss=2.175956964492798
train: epoch 29, loss 0.07427655160427094, acc=0.9766666889190674, loss=0.07427655160427094
test: epoch 29, loss 1.8924885988235474, acc=0.45277777314186096, loss=1.8924885988235474
train: epoch 30, loss 0.07913831621408463, acc=0.9763333201408386, loss=0.07913831621408463
test: epoch 30, loss 2.444343090057373, acc=0.45277777314186096, loss=2.444343090057373
train: epoch 31, loss 0.07606017589569092, acc=0.976111114025116, loss=0.07606017589569092
test: epoch 31, loss 1.919389247894287, acc=0.5611110925674438, loss=1.919389247894287
train: epoch 32, loss 0.06470251828432083, acc=0.9801111221313477, loss=0.06470251828432083
test: epoch 32, loss 2.6854989528656006, acc=0.43611112236976624, loss=2.6854989528656006
train: epoch 33, loss 0.06650623679161072, acc=0.9785555601119995, loss=0.06650623679161072
test: epoch 33, loss 2.2566616535186768, acc=0.5166666507720947, loss=2.2566616535186768
train: epoch 34, loss 0.06890327483415604, acc=0.9791666865348816, loss=0.06890327483415604
test: epoch 34, loss 1.8793569803237915, acc=0.519444465637207, loss=1.8793569803237915
train: epoch 35, loss 0.051815375685691833, acc=0.9858333468437195, loss=0.051815375685691833
test: epoch 35, loss 1.9297163486480713, acc=0.5361111164093018, loss=1.9297163486480713
train: epoch 36, loss 0.057994499802589417, acc=0.9820555448532104, loss=0.057994499802589417
test: epoch 36, loss 2.8816919326782227, acc=0.5055555701255798, loss=2.8816919326782227
train: epoch 37, loss 0.05546177178621292, acc=0.9841111302375793, loss=0.05546177178621292
test: epoch 37, loss 2.7837228775024414, acc=0.519444465637207, loss=2.7837228775024414
train: epoch 38, loss 0.07209568470716476, acc=0.9798333048820496, loss=0.07209568470716476
test: epoch 38, loss 1.8931201696395874, acc=0.5555555820465088, loss=1.8931201696395874
