# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=64", "--temperature=1", "--temp_decay=1", "--one_hot=0", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=0, optimizer='adam', preemptable=False, random_seed=565871093, receiver_embed_dim=64, save_run=0, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=False, optimizer='adam', preemptable=False, random_seed=565871093, receiver_embed_dim=64, save_run=False, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.8443150520324707, acc=0.10249999910593033, loss=2.8443150520324707
test: epoch 1, loss 3.770934820175171, acc=0.05277777835726738, loss=3.770934820175171
train: epoch 2, loss 2.168013572692871, acc=0.18844445049762726, loss=2.168013572692871
test: epoch 2, loss 2.7346479892730713, acc=0.17499999701976776, loss=2.7346479892730713
train: epoch 3, loss 1.8796144723892212, acc=0.26544445753097534, loss=1.8796144723892212
test: epoch 3, loss 2.263573408126831, acc=0.21666666865348816, loss=2.263573408126831
train: epoch 4, loss 1.7009246349334717, acc=0.3118889033794403, loss=1.7009246349334717
test: epoch 4, loss 2.208364486694336, acc=0.20277777314186096, loss=2.208364486694336
train: epoch 5, loss 1.5447547435760498, acc=0.36605554819107056, loss=1.5447547435760498
test: epoch 5, loss 1.9507313966751099, acc=0.20277777314186096, loss=1.9507313966751099
train: epoch 6, loss 1.430198073387146, acc=0.4091666638851166, loss=1.430198073387146
test: epoch 6, loss 2.043330669403076, acc=0.20277777314186096, loss=2.043330669403076
train: epoch 7, loss 1.3285962343215942, acc=0.44600000977516174, loss=1.3285962343215942
test: epoch 7, loss 1.7084816694259644, acc=0.25833332538604736, loss=1.7084816694259644
train: epoch 8, loss 1.268114686012268, acc=0.47244444489479065, loss=1.268114686012268
test: epoch 8, loss 1.6914595365524292, acc=0.3027777671813965, loss=1.6914595365524292
train: epoch 9, loss 1.23810613155365, acc=0.4852222204208374, loss=1.23810613155365
test: epoch 9, loss 1.7957106828689575, acc=0.3333333432674408, loss=1.7957106828689575
train: epoch 10, loss 1.1609684228897095, acc=0.5111666917800903, loss=1.1609684228897095
