# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=64", "--temperature=1.5", "--temp_decay=0.99", "--one_hot=1", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=1, optimizer='adam', preemptable=False, random_seed=643424603, receiver_embed_dim=64, save_run=0, temp_decay=0.99, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=643424603, receiver_embed_dim=64, save_run=False, temp_decay=0.99, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.3208515644073486, acc=0.060777775943279266, loss=3.3208515644073486
test: epoch 1, loss 4.247804164886475, acc=0.06388889253139496, loss=4.247804164886475
train: epoch 2, loss 2.1531927585601807, acc=0.25333333015441895, loss=2.1531927585601807
test: epoch 2, loss 2.898440361022949, acc=0.15833333134651184, loss=2.898440361022949
train: epoch 3, loss 1.557268738746643, acc=0.3888888955116272, loss=1.557268738746643
test: epoch 3, loss 2.5757768154144287, acc=0.16111111640930176, loss=2.5757768154144287
train: epoch 4, loss 1.3401020765304565, acc=0.47261109948158264, loss=1.3401020765304565
test: epoch 4, loss 2.4505269527435303, acc=0.17777778208255768, loss=2.4505269527435303
train: epoch 5, loss 1.195343017578125, acc=0.5256111025810242, loss=1.195343017578125
test: epoch 5, loss 2.2654125690460205, acc=0.2083333283662796, loss=2.2654125690460205
train: epoch 6, loss 1.0799758434295654, acc=0.5693333148956299, loss=1.0799758434295654
test: epoch 6, loss 2.266940116882324, acc=0.24722221493721008, loss=2.266940116882324
train: epoch 7, loss 1.0180975198745728, acc=0.6047777533531189, loss=1.0180975198745728
test: epoch 7, loss 2.309340715408325, acc=0.2361111044883728, loss=2.309340715408325
train: epoch 8, loss 0.9399808645248413, acc=0.6359999775886536, loss=0.9399808645248413
test: epoch 8, loss 2.1668131351470947, acc=0.24722221493721008, loss=2.1668131351470947
train: epoch 9, loss 0.8894843459129333, acc=0.6538888812065125, loss=0.8894843459129333
test: epoch 9, loss 2.128967761993408, acc=0.2777777910232544, loss=2.128967761993408
train: epoch 10, loss 0.8446019887924194, acc=0.675611138343811, loss=0.8446019887924194
