# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=64", "--temperature=2.0", "--temp_decay=0.995", "--one_hot=0", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=0, optimizer='adam', preemptable=False, random_seed=27915910, receiver_embed_dim=64, save_run=0, temp_decay=0.995, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=False, optimizer='adam', preemptable=False, random_seed=27915910, receiver_embed_dim=64, save_run=False, temp_decay=0.995, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.4614269733428955, acc=0.16699999570846558, loss=2.4614269733428955
test: epoch 1, loss 7.560254096984863, acc=0.03611111268401146, loss=7.560254096984863
train: epoch 2, loss 1.8278861045837402, acc=0.2878333330154419, loss=1.8278861045837402
test: epoch 2, loss 7.428391933441162, acc=0.05277777835726738, loss=7.428391933441162
train: epoch 3, loss 1.6171637773513794, acc=0.35161110758781433, loss=1.6171637773513794
test: epoch 3, loss 8.413809776306152, acc=0.05277777835726738, loss=8.413809776306152
train: epoch 4, loss 1.4650131464004517, acc=0.40861111879348755, loss=1.4650131464004517
test: epoch 4, loss 7.679771900177002, acc=0.07777778059244156, loss=7.679771900177002
train: epoch 5, loss 1.3628541231155396, acc=0.4432777762413025, loss=1.3628541231155396
test: epoch 5, loss 8.49444580078125, acc=0.0555555559694767, loss=8.49444580078125
train: epoch 6, loss 1.2909647226333618, acc=0.4778333306312561, loss=1.2909647226333618
test: epoch 6, loss 8.697962760925293, acc=0.09166666865348816, loss=8.697962760925293
train: epoch 7, loss 1.2104436159133911, acc=0.5092222094535828, loss=1.2104436159133911
test: epoch 7, loss 7.931929588317871, acc=0.07222222536802292, loss=7.931929588317871
train: epoch 8, loss 1.163860559463501, acc=0.5318333506584167, loss=1.163860559463501
test: epoch 8, loss 7.717188835144043, acc=0.07500000298023224, loss=7.717188835144043
train: epoch 9, loss 1.1074554920196533, acc=0.5541666746139526, loss=1.1074554920196533
test: epoch 9, loss 5.988103866577148, acc=0.10000000149011612, loss=5.988103866577148
train: epoch 10, loss 1.0728756189346313, acc=0.5651111006736755, loss=1.0728756189346313
test: epoch 10, loss 5.849241256713867, acc=0.08055555820465088, loss=5.849241256713867
train: epoch 11, loss 1.0405473709106445, acc=0.5803889036178589, loss=1.0405473709106445
test: epoch 11, loss 6.827973365783691, acc=0.0694444477558136, loss=6.827973365783691
train: epoch 12, loss 1.013608694076538, acc=0.5963333249092102, loss=1.013608694076538
test: epoch 12, loss 7.019261360168457, acc=0.05000000074505806, loss=7.019261360168457
train: epoch 13, loss 0.9771685600280762, acc=0.6127777695655823, loss=0.9771685600280762
test: epoch 13, loss 6.1471991539001465, acc=0.0972222238779068, loss=6.1471991539001465
train: epoch 14, loss 0.9459931254386902, acc=0.6256111264228821, loss=0.9459931254386902
test: epoch 14, loss 5.64377498626709, acc=0.09444444626569748, loss=5.64377498626709
train: epoch 15, loss 0.9392849802970886, acc=0.6359999775886536, loss=0.9392849802970886
test: epoch 15, loss 5.570647716522217, acc=0.11666666716337204, loss=5.570647716522217
train: epoch 16, loss 0.9063088297843933, acc=0.640333354473114, loss=0.9063088297843933
test: epoch 16, loss 6.522878646850586, acc=0.10277777910232544, loss=6.522878646850586
train: epoch 17, loss 0.8761245012283325, acc=0.6558333039283752, loss=0.8761245012283325
test: epoch 17, loss 5.463927745819092, acc=0.11944444477558136, loss=5.463927745819092
train: epoch 18, loss 0.8764392137527466, acc=0.6602222323417664, loss=0.8764392137527466
test: epoch 18, loss 5.2394304275512695, acc=0.14722222089767456, loss=5.2394304275512695
train: epoch 19, loss 0.8442485928535461, acc=0.6681666374206543, loss=0.8442485928535461
test: epoch 19, loss 7.04271125793457, acc=0.12222222238779068, loss=7.04271125793457
train: epoch 20, loss 0.8141517639160156, acc=0.6850555539131165, loss=0.8141517639160156
test: epoch 20, loss 5.302243709564209, acc=0.11388888955116272, loss=5.302243709564209
train: epoch 21, loss 0.8306283950805664, acc=0.6786110997200012, loss=0.8306283950805664
test: epoch 21, loss 5.994353771209717, acc=0.11944444477558136, loss=5.994353771209717
train: epoch 22, loss 0.81861811876297, acc=0.6839444637298584, loss=0.81861811876297
test: epoch 22, loss 5.183854103088379, acc=0.14166666567325592, loss=5.183854103088379
train: epoch 23, loss 0.7968682646751404, acc=0.6946666836738586, loss=0.7968682646751404
test: epoch 23, loss 4.766198635101318, acc=0.1388888955116272, loss=4.766198635101318
train: epoch 24, loss 0.7832974195480347, acc=0.6961110830307007, loss=0.7832974195480347
test: epoch 24, loss 5.623062610626221, acc=0.11666666716337204, loss=5.623062610626221
train: epoch 25, loss 0.7672611474990845, acc=0.7093333601951599, loss=0.7672611474990845
test: epoch 25, loss 4.358621597290039, acc=0.11666666716337204, loss=4.358621597290039
train: epoch 26, loss 0.7514810562133789, acc=0.7158889174461365, loss=0.7514810562133789
test: epoch 26, loss 5.224947452545166, acc=0.11666666716337204, loss=5.224947452545166
train: epoch 27, loss 0.7483081221580505, acc=0.7131111025810242, loss=0.7483081221580505
test: epoch 27, loss 4.608770370483398, acc=0.1666666716337204, loss=4.608770370483398
train: epoch 28, loss 0.7388917803764343, acc=0.7196666598320007, loss=0.7388917803764343
test: epoch 28, loss 3.932957649230957, acc=0.15000000596046448, loss=3.932957649230957
train: epoch 29, loss 0.7304084897041321, acc=0.7195000052452087, loss=0.7304084897041321
test: epoch 29, loss 4.760838508605957, acc=0.10277777910232544, loss=4.760838508605957
train: epoch 30, loss 0.7086368203163147, acc=0.7325000166893005, loss=0.7086368203163147
test: epoch 30, loss 4.76486873626709, acc=0.13611111044883728, loss=4.76486873626709
train: epoch 31, loss 0.7039514780044556, acc=0.7320555448532104, loss=0.7039514780044556
test: epoch 31, loss 5.255730152130127, acc=0.11388888955116272, loss=5.255730152130127
train: epoch 32, loss 0.6919881105422974, acc=0.7378333210945129, loss=0.6919881105422974
test: epoch 32, loss 4.478525161743164, acc=0.1527777761220932, loss=4.478525161743164
train: epoch 33, loss 0.6857748031616211, acc=0.7385555505752563, loss=0.6857748031616211
test: epoch 33, loss 4.68964147567749, acc=0.11388888955116272, loss=4.68964147567749
train: epoch 34, loss 0.6930283904075623, acc=0.7380555272102356, loss=0.6930283904075623
test: epoch 34, loss 4.744291305541992, acc=0.12777778506278992, loss=4.744291305541992
train: epoch 35, loss 0.6839300394058228, acc=0.7418888807296753, loss=0.6839300394058228
test: epoch 35, loss 4.159219264984131, acc=0.18888889253139496, loss=4.159219264984131
train: epoch 36, loss 0.6901974081993103, acc=0.738444447517395, loss=0.6901974081993103
test: epoch 36, loss 3.5026674270629883, acc=0.13333334028720856, loss=3.5026674270629883
train: epoch 37, loss 0.688435435295105, acc=0.7368888854980469, loss=0.688435435295105
test: epoch 37, loss 4.419409275054932, acc=0.13611111044883728, loss=4.419409275054932
train: epoch 38, loss 0.6818684935569763, acc=0.742111086845398, loss=0.6818684935569763
test: epoch 38, loss 4.19825553894043, acc=0.15555556118488312, loss=4.19825553894043
train: epoch 39, loss 0.6461427807807922, acc=0.7572222352027893, loss=0.6461427807807922
test: epoch 39, loss 4.939053535461426, acc=0.1527777761220932, loss=4.939053535461426
train: epoch 40, loss 0.6558948755264282, acc=0.7540000081062317, loss=0.6558948755264282
test: epoch 40, loss 4.095636367797852, acc=0.1388888955116272, loss=4.095636367797852
train: epoch 41, loss 0.6728386282920837, acc=0.7508888840675354, loss=0.6728386282920837
test: epoch 41, loss 3.934133768081665, acc=0.1805555522441864, loss=3.934133768081665
train: epoch 42, loss 0.6658366918563843, acc=0.7551666498184204, loss=0.6658366918563843
test: epoch 42, loss 3.7408506870269775, acc=0.15555556118488312, loss=3.7408506870269775
train: epoch 43, loss 0.6700090765953064, acc=0.7488333582878113, loss=0.6700090765953064
test: epoch 43, loss 3.0871975421905518, acc=0.19166666269302368, loss=3.0871975421905518
train: epoch 44, loss 0.637328028678894, acc=0.7584999799728394, loss=0.637328028678894
test: epoch 44, loss 3.4297525882720947, acc=0.16111111640930176, loss=3.4297525882720947
train: epoch 45, loss 0.6286405324935913, acc=0.7637222409248352, loss=0.6286405324935913
test: epoch 45, loss 3.4866442680358887, acc=0.1388888955116272, loss=3.4866442680358887
train: epoch 46, loss 0.6525859236717224, acc=0.7599999904632568, loss=0.6525859236717224
test: epoch 46, loss 3.1420722007751465, acc=0.13333334028720856, loss=3.1420722007751465
train: epoch 47, loss 0.6440790295600891, acc=0.7569444179534912, loss=0.6440790295600891
test: epoch 47, loss 3.43467378616333, acc=0.23888888955116272, loss=3.43467378616333
train: epoch 48, loss 0.6218279004096985, acc=0.7667222023010254, loss=0.6218279004096985
test: epoch 48, loss 3.785759925842285, acc=0.17499999701976776, loss=3.785759925842285
train: epoch 49, loss 0.6317223906517029, acc=0.7649999856948853, loss=0.6317223906517029
test: epoch 49, loss 3.1755852699279785, acc=0.17222222685813904, loss=3.1755852699279785
train: epoch 50, loss 0.6202410459518433, acc=0.7651110887527466, loss=0.6202410459518433
test: epoch 50, loss 2.9171648025512695, acc=0.14166666567325592, loss=2.9171648025512695
train: epoch 51, loss 0.6119614243507385, acc=0.7701666951179504, loss=0.6119614243507385
test: epoch 51, loss 3.4739739894866943, acc=0.12222222238779068, loss=3.4739739894866943
train: epoch 52, loss 0.6354091167449951, acc=0.757611095905304, loss=0.6354091167449951
test: epoch 52, loss 2.776350975036621, acc=0.2083333283662796, loss=2.776350975036621
train: epoch 53, loss 0.6098374724388123, acc=0.7730000019073486, loss=0.6098374724388123
test: epoch 53, loss 2.5834131240844727, acc=0.25, loss=2.5834131240844727
train: epoch 54, loss 0.619996964931488, acc=0.7670555710792542, loss=0.619996964931488
test: epoch 54, loss 2.4464287757873535, acc=0.22777777910232544, loss=2.4464287757873535
train: epoch 55, loss 0.6218751668930054, acc=0.7689999938011169, loss=0.6218751668930054
test: epoch 55, loss 2.9771382808685303, acc=0.21111111342906952, loss=2.9771382808685303
train: epoch 56, loss 0.6174958944320679, acc=0.765333354473114, loss=0.6174958944320679
test: epoch 56, loss 2.4187352657318115, acc=0.20277777314186096, loss=2.4187352657318115
train: epoch 57, loss 0.6108608245849609, acc=0.7724444270133972, loss=0.6108608245849609
test: epoch 57, loss 3.7204935550689697, acc=0.16944444179534912, loss=3.7204935550689697
train: epoch 58, loss 0.6028045415878296, acc=0.7701666951179504, loss=0.6028045415878296
test: epoch 58, loss 2.9445436000823975, acc=0.17222222685813904, loss=2.9445436000823975
train: epoch 59, loss 0.5889040231704712, acc=0.7779444456100464, loss=0.5889040231704712
test: epoch 59, loss 3.4190256595611572, acc=0.11944444477558136, loss=3.4190256595611572
train: epoch 60, loss 0.5937413573265076, acc=0.7797222137451172, loss=0.5937413573265076
test: epoch 60, loss 2.7797868251800537, acc=0.19166666269302368, loss=2.7797868251800537
train: epoch 61, loss 0.607908308506012, acc=0.7733888626098633, loss=0.607908308506012
test: epoch 61, loss 2.816178798675537, acc=0.11944444477558136, loss=2.816178798675537
train: epoch 62, loss 0.6041703820228577, acc=0.7750555276870728, loss=0.6041703820228577
test: epoch 62, loss 3.3455984592437744, acc=0.21666666865348816, loss=3.3455984592437744
train: epoch 63, loss 0.6096934676170349, acc=0.7676666378974915, loss=0.6096934676170349
test: epoch 63, loss 3.245422124862671, acc=0.13055555522441864, loss=3.245422124862671
