# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=128", "--temperature=1", "--temp_decay=1", "--one_hot=false", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=153362526, receiver_embed_dim=128, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.9853885173797607, acc=0.08788888901472092, loss=2.9853885173797607
test: epoch 1, loss 2.7321877479553223, acc=0.1111111119389534, loss=2.7321877479553223
train: epoch 2, loss 1.752120852470398, acc=0.2984444499015808, loss=1.752120852470398
test: epoch 2, loss 1.7213884592056274, acc=0.28333333134651184, loss=1.7213884592056274
train: epoch 3, loss 1.3234543800354004, acc=0.43477776646614075, loss=1.3234543800354004
test: epoch 3, loss 1.6905364990234375, acc=0.32499998807907104, loss=1.6905364990234375
train: epoch 4, loss 1.1475125551223755, acc=0.5055000185966492, loss=1.1475125551223755
test: epoch 4, loss 1.577547550201416, acc=0.3222222328186035, loss=1.577547550201416
train: epoch 5, loss 1.0439937114715576, acc=0.5524444580078125, loss=1.0439937114715576
test: epoch 5, loss 1.5887280702590942, acc=0.375, loss=1.5887280702590942
train: epoch 6, loss 0.9533174633979797, acc=0.5874444246292114, loss=0.9533174633979797
test: epoch 6, loss 1.4004229307174683, acc=0.36666667461395264, loss=1.4004229307174683
train: epoch 7, loss 0.8882392644882202, acc=0.6172778010368347, loss=0.8882392644882202
test: epoch 7, loss 1.5182181596755981, acc=0.3888888955116272, loss=1.5182181596755981
train: epoch 8, loss 0.8124490976333618, acc=0.6483888626098633, loss=0.8124490976333618
test: epoch 8, loss 1.5793627500534058, acc=0.38333332538604736, loss=1.5793627500534058
