# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=128", "--temperature=1", "--temp_decay=0.99", "--one_hot=false", "--n_layers=4"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=4, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=711790981, receiver_embed_dim=128, temp_decay=0.99, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.9936392307281494, acc=0.07338888943195343, loss=2.9936392307281494
test: epoch 1, loss 2.6536223888397217, acc=0.1111111119389534, loss=2.6536223888397217
train: epoch 2, loss 2.1149306297302246, acc=0.17866666615009308, loss=2.1149306297302246
test: epoch 2, loss 1.908386468887329, acc=0.20555555820465088, loss=1.908386468887329
train: epoch 3, loss 1.769058108329773, acc=0.24472221732139587, loss=1.769058108329773
test: epoch 3, loss 1.8793342113494873, acc=0.24166665971279144, loss=1.8793342113494873
train: epoch 4, loss 1.6166490316390991, acc=0.292722225189209, loss=1.6166490316390991
test: epoch 4, loss 1.64188814163208, acc=0.2944444417953491, loss=1.64188814163208
train: epoch 5, loss 1.4082415103912354, acc=0.3541666567325592, loss=1.4082415103912354
test: epoch 5, loss 1.6627424955368042, acc=0.3055555522441864, loss=1.6627424955368042
train: epoch 6, loss 1.3006105422973633, acc=0.3922777771949768, loss=1.3006105422973633
test: epoch 6, loss 1.532759189605713, acc=0.3305555582046509, loss=1.532759189605713
train: epoch 7, loss 1.2340444326400757, acc=0.40522223711013794, loss=1.2340444326400757
test: epoch 7, loss 1.3725309371948242, acc=0.3583333194255829, loss=1.3725309371948242
