# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=128", "--temperature=1.5", "--temp_decay=1", "--one_hot=true", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=958112322, receiver_embed_dim=128, temp_decay=1.0, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.72890567779541, acc=0.12044444680213928, loss=2.72890567779541
test: epoch 1, loss 3.430579662322998, acc=0.10833333432674408, loss=3.430579662322998
train: epoch 2, loss 1.4609951972961426, acc=0.41616666316986084, loss=1.4609951972961426
test: epoch 2, loss 2.4161810874938965, acc=0.19722221791744232, loss=2.4161810874938965
train: epoch 3, loss 1.0149807929992676, acc=0.5786111354827881, loss=1.0149807929992676
test: epoch 3, loss 1.9452552795410156, acc=0.3166666626930237, loss=1.9452552795410156
train: epoch 4, loss 0.8046046495437622, acc=0.6678333282470703, loss=0.8046046495437622
test: epoch 4, loss 1.6214332580566406, acc=0.3722222149372101, loss=1.6214332580566406
train: epoch 5, loss 0.6863715052604675, acc=0.7176666855812073, loss=0.6863715052604675
test: epoch 5, loss 1.7457222938537598, acc=0.4166666567325592, loss=1.7457222938537598
train: epoch 6, loss 0.5827704071998596, acc=0.758388876914978, loss=0.5827704071998596
test: epoch 6, loss 1.6757903099060059, acc=0.42500001192092896, loss=1.6757903099060059
train: epoch 7, loss 0.5154980421066284, acc=0.7934444546699524, loss=0.5154980421066284
test: epoch 7, loss 1.575636863708496, acc=0.4277777671813965, loss=1.575636863708496
train: epoch 8, loss 0.45976483821868896, acc=0.8141111135482788, loss=0.45976483821868896
test: epoch 8, loss 1.7670990228652954, acc=0.43611112236976624, loss=1.7670990228652954
train: epoch 9, loss 0.40703341364860535, acc=0.8323333263397217, loss=0.40703341364860535
test: epoch 9, loss 1.5625190734863281, acc=0.4277777671813965, loss=1.5625190734863281
train: epoch 10, loss 0.3900298774242401, acc=0.839722216129303, loss=0.3900298774242401
test: epoch 10, loss 1.3706355094909668, acc=0.5361111164093018, loss=1.3706355094909668
train: epoch 11, loss 0.351845383644104, acc=0.8587222099304199, loss=0.351845383644104
test: epoch 11, loss 1.7696521282196045, acc=0.4416666626930237, loss=1.7696521282196045
train: epoch 12, loss 0.3249492347240448, acc=0.8688889145851135, loss=0.3249492347240448
test: epoch 12, loss 1.740293025970459, acc=0.4472222328186035, loss=1.740293025970459
train: epoch 13, loss 0.332504004240036, acc=0.8641111254692078, loss=0.332504004240036
test: epoch 13, loss 1.6601994037628174, acc=0.39722222089767456, loss=1.6601994037628174
train: epoch 14, loss 0.28713124990463257, acc=0.8801110982894897, loss=0.28713124990463257
test: epoch 14, loss 2.1483266353607178, acc=0.4055555462837219, loss=2.1483266353607178
train: epoch 15, loss 0.2753981351852417, acc=0.886722207069397, loss=0.2753981351852417
test: epoch 15, loss 1.6525744199752808, acc=0.4472222328186035, loss=1.6525744199752808
train: epoch 16, loss 0.2719232141971588, acc=0.8904444575309753, loss=0.2719232141971588
test: epoch 16, loss 1.7664225101470947, acc=0.43888887763023376, loss=1.7664225101470947
train: epoch 17, loss 0.2589540481567383, acc=0.8912777900695801, loss=0.2589540481567383
test: epoch 17, loss 1.5547709465026855, acc=0.5083333253860474, loss=1.5547709465026855
train: epoch 18, loss 0.2375158965587616, acc=0.8993333578109741, loss=0.2375158965587616
test: epoch 18, loss 1.9879170656204224, acc=0.4055555462837219, loss=1.9879170656204224
train: epoch 19, loss 0.23035220801830292, acc=0.9011666774749756, loss=0.23035220801830292
test: epoch 19, loss 1.8397618532180786, acc=0.42222222685813904, loss=1.8397618532180786
train: epoch 20, loss 0.2301233559846878, acc=0.9013333320617676, loss=0.2301233559846878
test: epoch 20, loss 2.144517660140991, acc=0.4333333373069763, loss=2.144517660140991
train: epoch 21, loss 0.22029797732830048, acc=0.9087777733802795, loss=0.22029797732830048
test: epoch 21, loss 2.2374167442321777, acc=0.45277777314186096, loss=2.2374167442321777
train: epoch 22, loss 0.19899395108222961, acc=0.9139444231987, loss=0.19899395108222961
test: epoch 22, loss 1.7092299461364746, acc=0.4555555582046509, loss=1.7092299461364746
train: epoch 23, loss 0.21253810822963715, acc=0.9082777500152588, loss=0.21253810822963715
test: epoch 23, loss 1.7666208744049072, acc=0.4694444537162781, loss=1.7666208744049072
train: epoch 24, loss 0.19980908930301666, acc=0.9139444231987, loss=0.19980908930301666
test: epoch 24, loss 1.3550071716308594, acc=0.5583333373069763, loss=1.3550071716308594
train: epoch 25, loss 0.1918402463197708, acc=0.913777768611908, loss=0.1918402463197708
test: epoch 25, loss 1.5437219142913818, acc=0.5583333373069763, loss=1.5437219142913818
train: epoch 26, loss 0.18913061916828156, acc=0.9163333177566528, loss=0.18913061916828156
test: epoch 26, loss 1.7386366128921509, acc=0.5166666507720947, loss=1.7386366128921509
train: epoch 27, loss 0.18009889125823975, acc=0.9213888645172119, loss=0.18009889125823975
test: epoch 27, loss 1.3582180738449097, acc=0.6027777791023254, loss=1.3582180738449097
train: epoch 28, loss 0.17029839754104614, acc=0.9235000014305115, loss=0.17029839754104614
test: epoch 28, loss 1.4660749435424805, acc=0.5666666626930237, loss=1.4660749435424805
train: epoch 29, loss 0.1845729649066925, acc=0.9185000061988831, loss=0.1845729649066925
test: epoch 29, loss 1.4440377950668335, acc=0.605555534362793, loss=1.4440377950668335
train: epoch 30, loss 0.16511741280555725, acc=0.9239444732666016, loss=0.16511741280555725
test: epoch 30, loss 1.3349558115005493, acc=0.5805555582046509, loss=1.3349558115005493
train: epoch 31, loss 0.16450484097003937, acc=0.9221110939979553, loss=0.16450484097003937
test: epoch 31, loss 1.3539924621582031, acc=0.5861111283302307, loss=1.3539924621582031
train: epoch 32, loss 0.15450362861156464, acc=0.9270555377006531, loss=0.15450362861156464
test: epoch 32, loss 1.6507385969161987, acc=0.5722222328186035, loss=1.6507385969161987
train: epoch 33, loss 0.15604080259799957, acc=0.9275555610656738, loss=0.15604080259799957
test: epoch 33, loss 1.3434174060821533, acc=0.6499999761581421, loss=1.3434174060821533
train: epoch 34, loss 0.15797802805900574, acc=0.9282777905464172, loss=0.15797802805900574
test: epoch 34, loss 1.5100302696228027, acc=0.644444465637207, loss=1.5100302696228027
train: epoch 35, loss 0.15896613895893097, acc=0.9269444346427917, loss=0.15896613895893097
test: epoch 35, loss 1.235090732574463, acc=0.6722221970558167, loss=1.235090732574463
train: epoch 36, loss 0.14751985669136047, acc=0.9329444169998169, loss=0.14751985669136047
test: epoch 36, loss 1.261000633239746, acc=0.6416666507720947, loss=1.261000633239746
train: epoch 37, loss 0.14990875124931335, acc=0.9317222237586975, loss=0.14990875124931335
test: epoch 37, loss 1.2700490951538086, acc=0.6666666865348816, loss=1.2700490951538086
train: epoch 38, loss 0.13665702939033508, acc=0.9328888654708862, loss=0.13665702939033508
test: epoch 38, loss 1.303209662437439, acc=0.6527777910232544, loss=1.303209662437439
train: epoch 39, loss 0.13087323307991028, acc=0.9353888630867004, loss=0.13087323307991028
test: epoch 39, loss 1.2429057359695435, acc=0.6611111164093018, loss=1.2429057359695435
train: epoch 40, loss 0.14250358939170837, acc=0.9323333501815796, loss=0.14250358939170837
test: epoch 40, loss 1.0491933822631836, acc=0.6972222328186035, loss=1.0491933822631836
train: epoch 41, loss 0.13434527814388275, acc=0.9332777857780457, loss=0.13434527814388275
test: epoch 41, loss 1.3857946395874023, acc=0.675000011920929, loss=1.3857946395874023
train: epoch 42, loss 0.14118734002113342, acc=0.9357777833938599, loss=0.14118734002113342
test: epoch 42, loss 1.0423269271850586, acc=0.7027778029441833, loss=1.0423269271850586
train: epoch 43, loss 0.1348358392715454, acc=0.933722198009491, loss=0.1348358392715454
test: epoch 43, loss 1.0112568140029907, acc=0.7388888597488403, loss=1.0112568140029907
train: epoch 44, loss 0.12654539942741394, acc=0.9338333606719971, loss=0.12654539942741394
test: epoch 44, loss 1.1123521327972412, acc=0.6833333373069763, loss=1.1123521327972412
train: epoch 45, loss 0.13199105858802795, acc=0.9369999766349792, loss=0.13199105858802795
test: epoch 45, loss 0.7989808320999146, acc=0.7444444298744202, loss=0.7989808320999146
train: epoch 46, loss 0.12721313536167145, acc=0.9340000152587891, loss=0.12721313536167145
test: epoch 46, loss 1.1870973110198975, acc=0.7166666388511658, loss=1.1870973110198975
train: epoch 47, loss 0.12581773102283478, acc=0.9387221932411194, loss=0.12581773102283478
test: epoch 47, loss 1.0512861013412476, acc=0.7361111044883728, loss=1.0512861013412476
train: epoch 48, loss 0.12665127217769623, acc=0.9351666569709778, loss=0.12665127217769623
test: epoch 48, loss 0.8726779818534851, acc=0.7527777552604675, loss=0.8726779818534851
train: epoch 49, loss 0.12609906494617462, acc=0.9340555667877197, loss=0.12609906494617462
test: epoch 49, loss 1.0260487794876099, acc=0.7527777552604675, loss=1.0260487794876099
train: epoch 50, loss 0.11917024850845337, acc=0.9369444251060486, loss=0.11917024850845337
test: epoch 50, loss 0.9982398152351379, acc=0.7194444537162781, loss=0.9982398152351379
train: epoch 51, loss 0.12371273338794708, acc=0.9356666803359985, loss=0.12371273338794708
test: epoch 51, loss 0.8599007725715637, acc=0.7250000238418579, loss=0.8599007725715637
train: epoch 52, loss 0.1266109198331833, acc=0.9383888840675354, loss=0.1266109198331833
test: epoch 52, loss 0.9477053284645081, acc=0.7333333492279053, loss=0.9477053284645081
train: epoch 53, loss 0.1144447848200798, acc=0.9384444355964661, loss=0.1144447848200798
test: epoch 53, loss 0.7915285229682922, acc=0.7777777910232544, loss=0.7915285229682922
train: epoch 54, loss 0.1264759600162506, acc=0.9351666569709778, loss=0.1264759600162506
test: epoch 54, loss 0.8045665621757507, acc=0.7361111044883728, loss=0.8045665621757507
train: epoch 55, loss 0.11579710990190506, acc=0.9376111030578613, loss=0.11579710990190506
test: epoch 55, loss 0.7231282591819763, acc=0.7888888716697693, loss=0.7231282591819763
train: epoch 56, loss 0.11261116713285446, acc=0.9434999823570251, loss=0.11261116713285446
test: epoch 56, loss 0.7698990106582642, acc=0.7888888716697693, loss=0.7698990106582642
train: epoch 57, loss 0.1139797791838646, acc=0.9405555725097656, loss=0.1139797791838646
test: epoch 57, loss 0.6886336207389832, acc=0.7861111164093018, loss=0.6886336207389832
train: epoch 58, loss 0.1096654012799263, acc=0.9398888945579529, loss=0.1096654012799263
test: epoch 58, loss 0.9949003458023071, acc=0.7888888716697693, loss=0.9949003458023071
train: epoch 59, loss 0.10291759669780731, acc=0.9412222504615784, loss=0.10291759669780731
test: epoch 59, loss 0.9527777433395386, acc=0.7805555462837219, loss=0.9527777433395386
train: epoch 60, loss 0.11144711077213287, acc=0.9408888816833496, loss=0.11144711077213287
test: epoch 60, loss 0.6604037284851074, acc=0.7972221970558167, loss=0.6604037284851074
train: epoch 61, loss 0.09743119031190872, acc=0.9434444308280945, loss=0.09743119031190872
test: epoch 61, loss 0.7804492712020874, acc=0.7972221970558167, loss=0.7804492712020874
train: epoch 62, loss 0.09894978255033493, acc=0.9403889179229736, loss=0.09894978255033493
test: epoch 62, loss 1.039306640625, acc=0.769444465637207, loss=1.039306640625
train: epoch 63, loss 0.12054853141307831, acc=0.9402222037315369, loss=0.12054853141307831
test: epoch 63, loss 0.6859543323516846, acc=0.8194444179534912, loss=0.6859543323516846
train: epoch 64, loss 0.09758439660072327, acc=0.9417222142219543, loss=0.09758439660072327
test: epoch 64, loss 0.65260249376297, acc=0.8138889074325562, loss=0.65260249376297
