# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=64", "--temperature=1", "--temp_decay=1", "--one_hot=true", "--n_layers=4"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=4, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=592875648, receiver_embed_dim=64, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.1311211585998535, acc=0.06322222203016281, loss=3.1311211585998535
test: epoch 1, loss 2.844653367996216, acc=0.07777778059244156, loss=2.844653367996216
train: epoch 2, loss 2.3565170764923096, acc=0.14172221720218658, loss=2.3565170764923096
test: epoch 2, loss 2.2541301250457764, acc=0.16111111640930176, loss=2.2541301250457764
train: epoch 3, loss 1.9607841968536377, acc=0.20499999821186066, loss=1.9607841968536377
test: epoch 3, loss 1.8542861938476562, acc=0.24166665971279144, loss=1.8542861938476562
train: epoch 4, loss 1.6657397747039795, acc=0.27294445037841797, loss=1.6657397747039795
test: epoch 4, loss 1.749994158744812, acc=0.2611111104488373, loss=1.749994158744812
train: epoch 5, loss 1.5229957103729248, acc=0.3084999918937683, loss=1.5229957103729248
test: epoch 5, loss 1.6135766506195068, acc=0.2750000059604645, loss=1.6135766506195068
train: epoch 6, loss 1.4242311716079712, acc=0.3361110985279083, loss=1.4242311716079712
test: epoch 6, loss 1.7614383697509766, acc=0.25555557012557983, loss=1.7614383697509766
train: epoch 7, loss 1.3955341577529907, acc=0.339722216129303, loss=1.3955341577529907
test: epoch 7, loss 1.7315399646759033, acc=0.26944443583488464, loss=1.7315399646759033
train: epoch 8, loss 1.3383162021636963, acc=0.3590555489063263, loss=1.3383162021636963
test: epoch 8, loss 1.8907216787338257, acc=0.19166666269302368, loss=1.8907216787338257
train: epoch 9, loss 1.2905657291412354, acc=0.37494444847106934, loss=1.2905657291412354
test: epoch 9, loss 1.5954047441482544, acc=0.3083333373069763, loss=1.5954047441482544
train: epoch 10, loss 1.2808122634887695, acc=0.37977778911590576, loss=1.2808122634887695
test: epoch 10, loss 1.6971369981765747, acc=0.3055555522441864, loss=1.6971369981765747
train: epoch 11, loss 1.2127312421798706, acc=0.4121111035346985, loss=1.2127312421798706
test: epoch 11, loss 1.6432465314865112, acc=0.29722222685813904, loss=1.6432465314865112
train: epoch 12, loss 1.1941399574279785, acc=0.43022221326828003, loss=1.1941399574279785
test: epoch 12, loss 1.6578104496002197, acc=0.3027777671813965, loss=1.6578104496002197
train: epoch 13, loss 1.1778494119644165, acc=0.4434444308280945, loss=1.1778494119644165
test: epoch 13, loss 1.5848267078399658, acc=0.3305555582046509, loss=1.5848267078399658
train: epoch 14, loss 1.1486848592758179, acc=0.4668888747692108, loss=1.1486848592758179
test: epoch 14, loss 1.6361050605773926, acc=0.32777777314186096, loss=1.6361050605773926
train: epoch 15, loss 1.11472749710083, acc=0.4884999990463257, loss=1.11472749710083
test: epoch 15, loss 1.689763069152832, acc=0.3361110985279083, loss=1.689763069152832
train: epoch 16, loss 1.0627127885818481, acc=0.5200555324554443, loss=1.0627127885818481
