# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=32", "--temperature=1", "--temp_decay=0.995", "--one_hot=true", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=847096413, receiver_embed_dim=32, temp_decay=0.995, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.4756884574890137, acc=0.04694444313645363, loss=3.4756884574890137
test: epoch 1, loss 3.67987060546875, acc=0.04722222313284874, loss=3.67987060546875
train: epoch 2, loss 3.138063907623291, acc=0.07527777552604675, loss=3.138063907623291
test: epoch 2, loss 3.1713685989379883, acc=0.0833333358168602, loss=3.1713685989379883
train: epoch 3, loss 2.482682704925537, acc=0.18094444274902344, loss=2.482682704925537
test: epoch 3, loss 2.517651081085205, acc=0.13611111044883728, loss=2.517651081085205
train: epoch 4, loss 2.011141777038574, acc=0.25555557012557983, loss=2.011141777038574
test: epoch 4, loss 2.3295509815216064, acc=0.14722222089767456, loss=2.3295509815216064
train: epoch 5, loss 1.8456394672393799, acc=0.28955554962158203, loss=1.8456394672393799
test: epoch 5, loss 2.2471439838409424, acc=0.1527777761220932, loss=2.2471439838409424
train: epoch 6, loss 1.743895411491394, acc=0.32205554842948914, loss=1.743895411491394
test: epoch 6, loss 2.1298491954803467, acc=0.1666666716337204, loss=2.1298491954803467
train: epoch 7, loss 1.6685465574264526, acc=0.3433888852596283, loss=1.6685465574264526
test: epoch 7, loss 2.1621274948120117, acc=0.17499999701976776, loss=2.1621274948120117
train: epoch 8, loss 1.6129224300384521, acc=0.3638888895511627, loss=1.6129224300384521
test: epoch 8, loss 2.1476616859436035, acc=0.17777778208255768, loss=2.1476616859436035
train: epoch 9, loss 1.5757006406784058, acc=0.3756110966205597, loss=1.5757006406784058
test: epoch 9, loss 2.2112178802490234, acc=0.17777778208255768, loss=2.2112178802490234
train: epoch 10, loss 1.527584195137024, acc=0.3900555670261383, loss=1.527584195137024
test: epoch 10, loss 2.1681950092315674, acc=0.18888889253139496, loss=2.1681950092315674
train: epoch 11, loss 1.4918458461761475, acc=0.4032222330570221, loss=1.4918458461761475
test: epoch 11, loss 2.1531870365142822, acc=0.1944444477558136, loss=2.1531870365142822
train: epoch 12, loss 1.4558500051498413, acc=0.4169999957084656, loss=1.4558500051498413
test: epoch 12, loss 2.146460771560669, acc=0.1944444477558136, loss=2.146460771560669
train: epoch 13, loss 1.4283556938171387, acc=0.4252777695655823, loss=1.4283556938171387
test: epoch 13, loss 2.08003830909729, acc=0.2083333283662796, loss=2.08003830909729
train: epoch 14, loss 1.4007630348205566, acc=0.43799999356269836, loss=1.4007630348205566
test: epoch 14, loss 2.0647459030151367, acc=0.20277777314186096, loss=2.0647459030151367
train: epoch 15, loss 1.377158522605896, acc=0.4437222182750702, loss=1.377158522605896
test: epoch 15, loss 2.0654401779174805, acc=0.21388888359069824, loss=2.0654401779174805
train: epoch 16, loss 1.357181429862976, acc=0.45366665720939636, loss=1.357181429862976
test: epoch 16, loss 2.061988353729248, acc=0.21666666865348816, loss=2.061988353729248
train: epoch 17, loss 1.3371899127960205, acc=0.4615555703639984, loss=1.3371899127960205
test: epoch 17, loss 2.0438108444213867, acc=0.21944443881511688, loss=2.0438108444213867
train: epoch 18, loss 1.303361415863037, acc=0.46977776288986206, loss=1.303361415863037
test: epoch 18, loss 1.9723056554794312, acc=0.21388888359069824, loss=1.9723056554794312
train: epoch 19, loss 1.3014332056045532, acc=0.46727776527404785, loss=1.3014332056045532
test: epoch 19, loss 2.026506185531616, acc=0.22499999403953552, loss=2.026506185531616
train: epoch 20, loss 1.2912817001342773, acc=0.4723333418369293, loss=1.2912817001342773
test: epoch 20, loss 1.9174519777297974, acc=0.21666666865348816, loss=1.9174519777297974
train: epoch 21, loss 1.2786048650741577, acc=0.4776666760444641, loss=1.2786048650741577
test: epoch 21, loss 1.9678657054901123, acc=0.23333333432674408, loss=1.9678657054901123
train: epoch 22, loss 1.2581157684326172, acc=0.480388879776001, loss=1.2581157684326172
test: epoch 22, loss 2.008145332336426, acc=0.2222222238779068, loss=2.008145332336426
train: epoch 23, loss 1.2422446012496948, acc=0.4887777864933014, loss=1.2422446012496948
test: epoch 23, loss 1.9735386371612549, acc=0.23888888955116272, loss=1.9735386371612549
train: epoch 24, loss 1.2363998889923096, acc=0.4838888943195343, loss=1.2363998889923096
test: epoch 24, loss 2.0670902729034424, acc=0.21944443881511688, loss=2.0670902729034424
train: epoch 25, loss 1.218826413154602, acc=0.49316665530204773, loss=1.218826413154602
test: epoch 25, loss 1.9579957723617554, acc=0.22777777910232544, loss=1.9579957723617554
train: epoch 26, loss 1.212547779083252, acc=0.49255555868148804, loss=1.212547779083252
test: epoch 26, loss 1.985514760017395, acc=0.24166665971279144, loss=1.985514760017395
train: epoch 27, loss 1.2032864093780518, acc=0.4956111013889313, loss=1.2032864093780518
test: epoch 27, loss 1.9433470964431763, acc=0.22777777910232544, loss=1.9433470964431763
train: epoch 28, loss 1.1982256174087524, acc=0.4972222149372101, loss=1.1982256174087524
test: epoch 28, loss 2.004638195037842, acc=0.24166665971279144, loss=2.004638195037842
train: epoch 29, loss 1.1881011724472046, acc=0.4975000023841858, loss=1.1881011724472046
test: epoch 29, loss 1.9461820125579834, acc=0.24722221493721008, loss=1.9461820125579834
train: epoch 30, loss 1.1850043535232544, acc=0.5023888945579529, loss=1.1850043535232544
test: epoch 30, loss 1.9808024168014526, acc=0.25, loss=1.9808024168014526
train: epoch 31, loss 1.1845076084136963, acc=0.5017777681350708, loss=1.1845076084136963
test: epoch 31, loss 1.9343783855438232, acc=0.25, loss=1.9343783855438232
train: epoch 32, loss 1.1675105094909668, acc=0.5013889074325562, loss=1.1675105094909668
test: epoch 32, loss 1.979156732559204, acc=0.25555557012557983, loss=1.979156732559204
train: epoch 33, loss 1.1620585918426514, acc=0.5052777528762817, loss=1.1620585918426514
test: epoch 33, loss 1.910958170890808, acc=0.25555557012557983, loss=1.910958170890808
train: epoch 34, loss 1.1495661735534668, acc=0.5091111063957214, loss=1.1495661735534668
test: epoch 34, loss 1.959922194480896, acc=0.25, loss=1.959922194480896
train: epoch 35, loss 1.1602394580841064, acc=0.5081111192703247, loss=1.1602394580841064
test: epoch 35, loss 1.918912410736084, acc=0.2638888955116272, loss=1.918912410736084
train: epoch 36, loss 1.1429762840270996, acc=0.5103333592414856, loss=1.1429762840270996
test: epoch 36, loss 1.920634150505066, acc=0.2611111104488373, loss=1.920634150505066
train: epoch 37, loss 1.1319596767425537, acc=0.5236111283302307, loss=1.1319596767425537
test: epoch 37, loss 1.9377940893173218, acc=0.2638888955116272, loss=1.9377940893173218
train: epoch 38, loss 1.1323249340057373, acc=0.5138333439826965, loss=1.1323249340057373
test: epoch 38, loss 1.9592726230621338, acc=0.2527777850627899, loss=1.9592726230621338
train: epoch 39, loss 1.1347377300262451, acc=0.5135555267333984, loss=1.1347377300262451
test: epoch 39, loss 1.9569387435913086, acc=0.2666666805744171, loss=1.9569387435913086
train: epoch 40, loss 1.1114190816879272, acc=0.5251111388206482, loss=1.1114190816879272
test: epoch 40, loss 1.8984330892562866, acc=0.2611111104488373, loss=1.8984330892562866
train: epoch 41, loss 1.1208921670913696, acc=0.5186111330986023, loss=1.1208921670913696
test: epoch 41, loss 1.883872151374817, acc=0.2750000059604645, loss=1.883872151374817
train: epoch 42, loss 1.1030131578445435, acc=0.5268333554267883, loss=1.1030131578445435
test: epoch 42, loss 1.9284260272979736, acc=0.2777777910232544, loss=1.9284260272979736
train: epoch 43, loss 1.1100116968154907, acc=0.5248333215713501, loss=1.1100116968154907
test: epoch 43, loss 1.8209118843078613, acc=0.28611111640930176, loss=1.8209118843078613
train: epoch 44, loss 1.0994560718536377, acc=0.526888906955719, loss=1.0994560718536377
test: epoch 44, loss 1.7766703367233276, acc=0.28611111640930176, loss=1.7766703367233276
train: epoch 45, loss 1.0967334508895874, acc=0.5246111154556274, loss=1.0967334508895874
test: epoch 45, loss 1.8186475038528442, acc=0.28333333134651184, loss=1.8186475038528442
train: epoch 46, loss 1.091215968132019, acc=0.531166672706604, loss=1.091215968132019
test: epoch 46, loss 1.8607778549194336, acc=0.2777777910232544, loss=1.8607778549194336
train: epoch 47, loss 1.0864334106445312, acc=0.5297777652740479, loss=1.0864334106445312
test: epoch 47, loss 1.818581223487854, acc=0.28333333134651184, loss=1.818581223487854
train: epoch 48, loss 1.0910078287124634, acc=0.5289999842643738, loss=1.0910078287124634
test: epoch 48, loss 1.8400371074676514, acc=0.2888889014720917, loss=1.8400371074676514
train: epoch 49, loss 1.0870310068130493, acc=0.5253333449363708, loss=1.0870310068130493
test: epoch 49, loss 1.8874832391738892, acc=0.28333333134651184, loss=1.8874832391738892
train: epoch 50, loss 1.0833889245986938, acc=0.5296666622161865, loss=1.0833889245986938
test: epoch 50, loss 1.9714515209197998, acc=0.2805555462837219, loss=1.9714515209197998
train: epoch 51, loss 1.0715025663375854, acc=0.5308333039283752, loss=1.0715025663375854
test: epoch 51, loss 1.798732876777649, acc=0.28333333134651184, loss=1.798732876777649
train: epoch 52, loss 1.0784999132156372, acc=0.5316110849380493, loss=1.0784999132156372
test: epoch 52, loss 1.8919246196746826, acc=0.28333333134651184, loss=1.8919246196746826
train: epoch 53, loss 1.0739139318466187, acc=0.535444438457489, loss=1.0739139318466187
test: epoch 53, loss 1.8548061847686768, acc=0.28611111640930176, loss=1.8548061847686768
train: epoch 54, loss 1.068569302558899, acc=0.5341110825538635, loss=1.068569302558899
test: epoch 54, loss 1.829677700996399, acc=0.3027777671813965, loss=1.829677700996399
train: epoch 55, loss 1.073344349861145, acc=0.5311111211776733, loss=1.073344349861145
test: epoch 55, loss 1.8553718328475952, acc=0.3027777671813965, loss=1.8553718328475952
train: epoch 56, loss 1.0721042156219482, acc=0.5332777500152588, loss=1.0721042156219482
test: epoch 56, loss 1.8119100332260132, acc=0.3027777671813965, loss=1.8119100332260132
train: epoch 57, loss 1.0610191822052002, acc=0.5369444489479065, loss=1.0610191822052002
test: epoch 57, loss 1.825507640838623, acc=0.31388887763023376, loss=1.825507640838623
train: epoch 58, loss 1.0563344955444336, acc=0.538277804851532, loss=1.0563344955444336
test: epoch 58, loss 1.8781592845916748, acc=0.3083333373069763, loss=1.8781592845916748
train: epoch 59, loss 1.0619596242904663, acc=0.5316110849380493, loss=1.0619596242904663
test: epoch 59, loss 1.7956727743148804, acc=0.3083333373069763, loss=1.7956727743148804
train: epoch 60, loss 1.0487618446350098, acc=0.534166693687439, loss=1.0487618446350098
test: epoch 60, loss 1.8583662509918213, acc=0.31111112236976624, loss=1.8583662509918213
train: epoch 61, loss 1.044095516204834, acc=0.5397777557373047, loss=1.044095516204834
test: epoch 61, loss 1.8556281328201294, acc=0.31388887763023376, loss=1.8556281328201294
train: epoch 62, loss 1.0456982851028442, acc=0.5421110987663269, loss=1.0456982851028442
test: epoch 62, loss 1.8314718008041382, acc=0.3194444477558136, loss=1.8314718008041382
train: epoch 63, loss 1.0485608577728271, acc=0.5353333353996277, loss=1.0485608577728271
test: epoch 63, loss 1.903212547302246, acc=0.31111112236976624, loss=1.903212547302246
train: epoch 64, loss 1.0433566570281982, acc=0.5394999980926514, loss=1.0433566570281982
test: epoch 64, loss 1.8698798418045044, acc=0.31388887763023376, loss=1.8698798418045044
train: epoch 65, loss 1.0367224216461182, acc=0.5419999957084656, loss=1.0367224216461182
test: epoch 65, loss 1.806240200996399, acc=0.31388887763023376, loss=1.806240200996399
