# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=64", "--temperature=1.5", "--temp_decay=1", "--one_hot=false", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=2073292178, receiver_embed_dim=64, temp_decay=1.0, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.9431681632995605, acc=0.08977777510881424, loss=2.9431681632995605
test: epoch 1, loss 3.158362627029419, acc=0.12222222238779068, loss=3.158362627029419
train: epoch 2, loss 1.967599630355835, acc=0.2358333319425583, loss=1.967599630355835
test: epoch 2, loss 2.8735854625701904, acc=0.15000000596046448, loss=2.8735854625701904
train: epoch 3, loss 1.451859474182129, acc=0.4251111149787903, loss=1.451859474182129
test: epoch 3, loss 2.354212760925293, acc=0.21944443881511688, loss=2.354212760925293
train: epoch 4, loss 1.0493216514587402, acc=0.5816666483879089, loss=1.0493216514587402
test: epoch 4, loss 2.2096359729766846, acc=0.25555557012557983, loss=2.2096359729766846
train: epoch 5, loss 0.8717649579048157, acc=0.6526666879653931, loss=0.8717649579048157
test: epoch 5, loss 2.0578975677490234, acc=0.3027777671813965, loss=2.0578975677490234
train: epoch 6, loss 0.7651383876800537, acc=0.690833330154419, loss=0.7651383876800537
test: epoch 6, loss 2.035126209259033, acc=0.30000001192092896, loss=2.035126209259033
train: epoch 7, loss 0.6771682500839233, acc=0.7256666421890259, loss=0.6771682500839233
test: epoch 7, loss 1.9580984115600586, acc=0.3194444477558136, loss=1.9580984115600586
train: epoch 8, loss 0.6022964715957642, acc=0.7573888897895813, loss=0.6022964715957642
test: epoch 8, loss 1.857344627380371, acc=0.3444444537162781, loss=1.857344627380371
train: epoch 9, loss 0.5606920719146729, acc=0.7700555324554443, loss=0.5606920719146729
test: epoch 9, loss 1.7338616847991943, acc=0.3611111044883728, loss=1.7338616847991943
train: epoch 10, loss 0.537014901638031, acc=0.7813888788223267, loss=0.537014901638031
test: epoch 10, loss 1.9840790033340454, acc=0.3611111044883728, loss=1.9840790033340454
train: epoch 11, loss 0.5003139972686768, acc=0.7992777824401855, loss=0.5003139972686768
test: epoch 11, loss 1.9621870517730713, acc=0.375, loss=1.9621870517730713
train: epoch 12, loss 0.46638578176498413, acc=0.8137778043746948, loss=0.46638578176498413
test: epoch 12, loss 1.8669500350952148, acc=0.43888887763023376, loss=1.8669500350952148
train: epoch 13, loss 0.4358160197734833, acc=0.8246666789054871, loss=0.4358160197734833
test: epoch 13, loss 1.8045709133148193, acc=0.40833333134651184, loss=1.8045709133148193
train: epoch 14, loss 0.3852505385875702, acc=0.8483333587646484, loss=0.3852505385875702
test: epoch 14, loss 1.7709788084030151, acc=0.3861111104488373, loss=1.7709788084030151
train: epoch 15, loss 0.3812221586704254, acc=0.8488888740539551, loss=0.3812221586704254
test: epoch 15, loss 1.8560773134231567, acc=0.4138889014720917, loss=1.8560773134231567
train: epoch 16, loss 0.36236056685447693, acc=0.85188889503479, loss=0.36236056685447693
test: epoch 16, loss 1.7192919254302979, acc=0.46388888359069824, loss=1.7192919254302979
train: epoch 17, loss 0.32922908663749695, acc=0.8654444217681885, loss=0.32922908663749695
test: epoch 17, loss 1.799089789390564, acc=0.3861111104488373, loss=1.799089789390564
train: epoch 18, loss 0.31401827931404114, acc=0.8737221956253052, loss=0.31401827931404114
test: epoch 18, loss 1.4588960409164429, acc=0.4749999940395355, loss=1.4588960409164429
train: epoch 19, loss 0.3108919560909271, acc=0.870555579662323, loss=0.3108919560909271
test: epoch 19, loss 1.518466591835022, acc=0.5055555701255798, loss=1.518466591835022
train: epoch 20, loss 0.29835933446884155, acc=0.8804444670677185, loss=0.29835933446884155
test: epoch 20, loss 1.9018059968948364, acc=0.43888887763023376, loss=1.9018059968948364
train: epoch 21, loss 0.26345640420913696, acc=0.891777753829956, loss=0.26345640420913696
test: epoch 21, loss 1.5390852689743042, acc=0.4749999940395355, loss=1.5390852689743042
train: epoch 22, loss 0.2733376920223236, acc=0.8855555653572083, loss=0.2733376920223236
test: epoch 22, loss 1.7756972312927246, acc=0.42500001192092896, loss=1.7756972312927246
train: epoch 23, loss 0.24811267852783203, acc=0.8940555453300476, loss=0.24811267852783203
test: epoch 23, loss 1.5022826194763184, acc=0.5222222208976746, loss=1.5022826194763184
train: epoch 24, loss 0.25092342495918274, acc=0.8905555605888367, loss=0.25092342495918274
test: epoch 24, loss 1.4607998132705688, acc=0.5472221970558167, loss=1.4607998132705688
train: epoch 25, loss 0.2321356236934662, acc=0.8996666669845581, loss=0.2321356236934662
test: epoch 25, loss 1.8696529865264893, acc=0.46388888359069824, loss=1.8696529865264893
train: epoch 26, loss 0.24344222247600555, acc=0.8966666460037231, loss=0.24344222247600555
test: epoch 26, loss 1.6746245622634888, acc=0.49166667461395264, loss=1.6746245622634888
train: epoch 27, loss 0.23204930126667023, acc=0.8999999761581421, loss=0.23204930126667023
test: epoch 27, loss 1.9235199689865112, acc=0.4749999940395355, loss=1.9235199689865112
train: epoch 28, loss 0.21337340772151947, acc=0.9036666750907898, loss=0.21337340772151947
test: epoch 28, loss 1.7073616981506348, acc=0.5444444417953491, loss=1.7073616981506348
train: epoch 29, loss 0.21663250029087067, acc=0.9054444432258606, loss=0.21663250029087067
test: epoch 29, loss 1.7999273538589478, acc=0.4972222149372101, loss=1.7999273538589478
train: epoch 30, loss 0.2111351639032364, acc=0.9072222113609314, loss=0.2111351639032364
test: epoch 30, loss 2.0583925247192383, acc=0.44999998807907104, loss=2.0583925247192383
train: epoch 31, loss 0.20332804322242737, acc=0.9095555543899536, loss=0.20332804322242737
test: epoch 31, loss 1.4881260395050049, acc=0.5388888716697693, loss=1.4881260395050049
train: epoch 32, loss 0.19343866407871246, acc=0.9121666550636292, loss=0.19343866407871246
test: epoch 32, loss 1.9653270244598389, acc=0.5083333253860474, loss=1.9653270244598389
train: epoch 33, loss 0.2016700655221939, acc=0.9100000262260437, loss=0.2016700655221939
test: epoch 33, loss 1.6241037845611572, acc=0.4694444537162781, loss=1.6241037845611572
train: epoch 34, loss 0.1750544160604477, acc=0.9200555682182312, loss=0.1750544160604477
test: epoch 34, loss 1.5919382572174072, acc=0.5, loss=1.5919382572174072
train: epoch 35, loss 0.18475081026554108, acc=0.9164444208145142, loss=0.18475081026554108
test: epoch 35, loss 1.4909542798995972, acc=0.5472221970558167, loss=1.4909542798995972
train: epoch 36, loss 0.18275007605552673, acc=0.9196110963821411, loss=0.18275007605552673
test: epoch 36, loss 1.683756947517395, acc=0.5138888955116272, loss=1.683756947517395
train: epoch 37, loss 0.17819158732891083, acc=0.9202222228050232, loss=0.17819158732891083
test: epoch 37, loss 1.6021692752838135, acc=0.5416666865348816, loss=1.6021692752838135
train: epoch 38, loss 0.174711674451828, acc=0.9225000143051147, loss=0.174711674451828
test: epoch 38, loss 1.6442322731018066, acc=0.5027777552604675, loss=1.6442322731018066
train: epoch 39, loss 0.16990356147289276, acc=0.9210555553436279, loss=0.16990356147289276
test: epoch 39, loss 1.6986054182052612, acc=0.5388888716697693, loss=1.6986054182052612
train: epoch 40, loss 0.15770241618156433, acc=0.9267777800559998, loss=0.15770241618156433
test: epoch 40, loss 1.8176063299179077, acc=0.5638889074325562, loss=1.8176063299179077
train: epoch 41, loss 0.17810127139091492, acc=0.9202777743339539, loss=0.17810127139091492
test: epoch 41, loss 1.408020257949829, acc=0.5444444417953491, loss=1.408020257949829
train: epoch 42, loss 0.15844818949699402, acc=0.9278333187103271, loss=0.15844818949699402
test: epoch 42, loss 1.4293524026870728, acc=0.5111111402511597, loss=1.4293524026870728
train: epoch 43, loss 0.15591660141944885, acc=0.9272222518920898, loss=0.15591660141944885
test: epoch 43, loss 1.7675819396972656, acc=0.5861111283302307, loss=1.7675819396972656
train: epoch 44, loss 0.1556047648191452, acc=0.9286666512489319, loss=0.1556047648191452
test: epoch 44, loss 1.71152925491333, acc=0.5666666626930237, loss=1.71152925491333
train: epoch 45, loss 0.1531352400779724, acc=0.9278888702392578, loss=0.1531352400779724
test: epoch 45, loss 1.6551311016082764, acc=0.6194444298744202, loss=1.6551311016082764
train: epoch 46, loss 0.15658727288246155, acc=0.9294999837875366, loss=0.15658727288246155
test: epoch 46, loss 1.5921345949172974, acc=0.5944444537162781, loss=1.5921345949172974
train: epoch 47, loss 0.1445969194173813, acc=0.9307222366333008, loss=0.1445969194173813
test: epoch 47, loss 1.3676122426986694, acc=0.6499999761581421, loss=1.3676122426986694
train: epoch 48, loss 0.15346616506576538, acc=0.9278888702392578, loss=0.15346616506576538
test: epoch 48, loss 1.1818231344223022, acc=0.644444465637207, loss=1.1818231344223022
train: epoch 49, loss 0.1522776037454605, acc=0.9307222366333008, loss=0.1522776037454605
test: epoch 49, loss 1.4582102298736572, acc=0.6527777910232544, loss=1.4582102298736572
train: epoch 50, loss 0.15279294550418854, acc=0.9310555458068848, loss=0.15279294550418854
test: epoch 50, loss 1.2412997484207153, acc=0.675000011920929, loss=1.2412997484207153
