# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=64", "--temperature=1.5", "--temp_decay=0.99", "--one_hot=false", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=192633050, receiver_embed_dim=64, temp_decay=0.99, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.8968777656555176, acc=0.09399999678134918, loss=2.8968777656555176
test: epoch 1, loss 2.9887654781341553, acc=0.1111111119389534, loss=2.9887654781341553
train: epoch 2, loss 1.906491994857788, acc=0.26261112093925476, loss=1.906491994857788
test: epoch 2, loss 3.2055892944335938, acc=0.13333334028720856, loss=3.2055892944335938
train: epoch 3, loss 1.3771718740463257, acc=0.4497777819633484, loss=1.3771718740463257
test: epoch 3, loss 3.000541925430298, acc=0.18611110746860504, loss=3.000541925430298
train: epoch 4, loss 1.1016770601272583, acc=0.5541666746139526, loss=1.1016770601272583
test: epoch 4, loss 2.4342029094696045, acc=0.23055554926395416, loss=2.4342029094696045
train: epoch 5, loss 0.9161580801010132, acc=0.6241666674613953, loss=0.9161580801010132
test: epoch 5, loss 2.2893829345703125, acc=0.2750000059604645, loss=2.2893829345703125
train: epoch 6, loss 0.8248624801635742, acc=0.6635555624961853, loss=0.8248624801635742
test: epoch 6, loss 2.001955509185791, acc=0.2777777910232544, loss=2.001955509185791
train: epoch 7, loss 0.7440003156661987, acc=0.6969444155693054, loss=0.7440003156661987
test: epoch 7, loss 2.1651527881622314, acc=0.30000001192092896, loss=2.1651527881622314
