# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=64", "--temperature=2.0", "--temp_decay=0.995", "--one_hot=true", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=327898236, receiver_embed_dim=64, temp_decay=0.995, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.872037649154663, acc=0.09605555236339569, loss=2.872037649154663
test: epoch 1, loss 3.705003023147583, acc=0.10277777910232544, loss=3.705003023147583
train: epoch 2, loss 1.6853647232055664, acc=0.3465000092983246, loss=1.6853647232055664
test: epoch 2, loss 4.777322292327881, acc=0.12777778506278992, loss=4.777322292327881
train: epoch 3, loss 1.1240825653076172, acc=0.5529999732971191, loss=1.1240825653076172
test: epoch 3, loss 4.027339935302734, acc=0.15000000596046448, loss=4.027339935302734
train: epoch 4, loss 0.8334499597549438, acc=0.6737222075462341, loss=0.8334499597549438
test: epoch 4, loss 3.8436226844787598, acc=0.1666666716337204, loss=3.8436226844787598
train: epoch 5, loss 0.6724365949630737, acc=0.734666645526886, loss=0.6724365949630737
test: epoch 5, loss 3.463458299636841, acc=0.18611110746860504, loss=3.463458299636841
train: epoch 6, loss 0.5665912628173828, acc=0.7806666493415833, loss=0.5665912628173828
test: epoch 6, loss 3.264484167098999, acc=0.24722221493721008, loss=3.264484167098999
train: epoch 7, loss 0.49209335446357727, acc=0.8095555305480957, loss=0.49209335446357727
test: epoch 7, loss 3.312711000442505, acc=0.28611111640930176, loss=3.312711000442505
train: epoch 8, loss 0.43514305353164673, acc=0.8308888673782349, loss=0.43514305353164673
test: epoch 8, loss 2.949803352355957, acc=0.2666666805744171, loss=2.949803352355957
train: epoch 9, loss 0.42513373494148254, acc=0.8399999737739563, loss=0.42513373494148254
test: epoch 9, loss 2.4078097343444824, acc=0.3722222149372101, loss=2.4078097343444824
train: epoch 10, loss 0.3697851002216339, acc=0.859666645526886, loss=0.3697851002216339
test: epoch 10, loss 2.591695785522461, acc=0.2527777850627899, loss=2.591695785522461
train: epoch 11, loss 0.3213108479976654, acc=0.8807222247123718, loss=0.3213108479976654
