# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=32", "--temperature=1", "--temp_decay=1", "--one_hot=0", "--n_layers=1"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=0, optimizer='adam', preemptable=False, random_seed=883581503, receiver_embed_dim=32, save_run=0, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=False, optimizer='adam', preemptable=False, random_seed=883581503, receiver_embed_dim=32, save_run=False, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.275097131729126, acc=0.06805555522441864, loss=3.275097131729126
test: epoch 1, loss 3.619811773300171, acc=0.05000000074505806, loss=3.619811773300171
train: epoch 2, loss 2.922858953475952, acc=0.0989999994635582, loss=2.922858953475952
test: epoch 2, loss 3.756505012512207, acc=0.05277777835726738, loss=3.756505012512207
train: epoch 3, loss 2.8075637817382812, acc=0.11666666716337204, loss=2.8075637817382812
test: epoch 3, loss 3.878770351409912, acc=0.0555555559694767, loss=3.878770351409912
train: epoch 4, loss 2.742091178894043, acc=0.1245555579662323, loss=2.742091178894043
test: epoch 4, loss 4.051502227783203, acc=0.05277777835726738, loss=4.051502227783203
train: epoch 5, loss 2.691427707672119, acc=0.13244444131851196, loss=2.691427707672119
test: epoch 5, loss 4.082963943481445, acc=0.05277777835726738, loss=4.082963943481445
train: epoch 6, loss 2.6652722358703613, acc=0.1306111067533493, loss=2.6652722358703613
test: epoch 6, loss 4.030267238616943, acc=0.05000000074505806, loss=4.030267238616943
train: epoch 7, loss 2.637880325317383, acc=0.1382777839899063, loss=2.637880325317383
test: epoch 7, loss 3.8160605430603027, acc=0.06666667014360428, loss=3.8160605430603027
train: epoch 8, loss 2.61307954788208, acc=0.13894444704055786, loss=2.61307954788208
test: epoch 8, loss 4.012625694274902, acc=0.05277777835726738, loss=4.012625694274902
train: epoch 9, loss 2.59177827835083, acc=0.14588889479637146, loss=2.59177827835083
test: epoch 9, loss 4.107654094696045, acc=0.05277777835726738, loss=4.107654094696045
train: epoch 10, loss 2.574575901031494, acc=0.15049999952316284, loss=2.574575901031494
test: epoch 10, loss 4.094075679779053, acc=0.0555555559694767, loss=4.094075679779053
train: epoch 11, loss 2.5655765533447266, acc=0.15111111104488373, loss=2.5655765533447266
test: epoch 11, loss 3.848238945007324, acc=0.0694444477558136, loss=3.848238945007324
train: epoch 12, loss 2.5453028678894043, acc=0.1527777761220932, loss=2.5453028678894043
test: epoch 12, loss 3.9143073558807373, acc=0.05277777835726738, loss=3.9143073558807373
train: epoch 13, loss 2.5198163986206055, acc=0.15655554831027985, loss=2.5198163986206055
test: epoch 13, loss 3.9032111167907715, acc=0.05833333358168602, loss=3.9032111167907715
train: epoch 14, loss 2.5109336376190186, acc=0.15944445133209229, loss=2.5109336376190186
test: epoch 14, loss 3.9275100231170654, acc=0.05833333358168602, loss=3.9275100231170654
train: epoch 15, loss 2.5039098262786865, acc=0.16050000488758087, loss=2.5039098262786865
test: epoch 15, loss 3.97057843208313, acc=0.05833333358168602, loss=3.97057843208313
train: epoch 16, loss 2.4885005950927734, acc=0.16761110723018646, loss=2.4885005950927734
test: epoch 16, loss 3.9217183589935303, acc=0.05833333358168602, loss=3.9217183589935303
train: epoch 17, loss 2.4836909770965576, acc=0.16172222793102264, loss=2.4836909770965576
test: epoch 17, loss 3.936448335647583, acc=0.05277777835726738, loss=3.936448335647583
train: epoch 18, loss 2.4772417545318604, acc=0.1671111136674881, loss=2.4772417545318604
test: epoch 18, loss 3.9701128005981445, acc=0.0555555559694767, loss=3.9701128005981445
train: epoch 19, loss 2.4460971355438232, acc=0.1673888862133026, loss=2.4460971355438232
test: epoch 19, loss 3.9168288707733154, acc=0.0555555559694767, loss=3.9168288707733154
train: epoch 20, loss 2.458550453186035, acc=0.17216666042804718, loss=2.458550453186035
test: epoch 20, loss 3.9141957759857178, acc=0.06111111119389534, loss=3.9141957759857178
train: epoch 21, loss 2.445960521697998, acc=0.17238888144493103, loss=2.445960521697998
test: epoch 21, loss 4.031483173370361, acc=0.05833333358168602, loss=4.031483173370361
train: epoch 22, loss 2.437769889831543, acc=0.17216666042804718, loss=2.437769889831543
test: epoch 22, loss 3.9752368927001953, acc=0.06111111119389534, loss=3.9752368927001953
train: epoch 23, loss 2.4266061782836914, acc=0.1756666600704193, loss=2.4266061782836914
test: epoch 23, loss 3.948735237121582, acc=0.07500000298023224, loss=3.948735237121582
train: epoch 24, loss 2.4195852279663086, acc=0.1753888875246048, loss=2.4195852279663086
test: epoch 24, loss 4.032266616821289, acc=0.0555555559694767, loss=4.032266616821289
train: epoch 25, loss 2.4189529418945312, acc=0.17811110615730286, loss=2.4189529418945312
test: epoch 25, loss 4.088129997253418, acc=0.05277777835726738, loss=4.088129997253418
train: epoch 26, loss 2.396078109741211, acc=0.17977777123451233, loss=2.396078109741211
test: epoch 26, loss 4.079596519470215, acc=0.05833333358168602, loss=4.079596519470215
train: epoch 27, loss 2.404674530029297, acc=0.1827777773141861, loss=2.404674530029297
test: epoch 27, loss 3.9082181453704834, acc=0.0694444477558136, loss=3.9082181453704834
train: epoch 28, loss 2.3868417739868164, acc=0.18194444477558136, loss=2.3868417739868164
test: epoch 28, loss 3.9508368968963623, acc=0.05277777835726738, loss=3.9508368968963623
train: epoch 29, loss 2.3864991664886475, acc=0.185722216963768, loss=2.3864991664886475
test: epoch 29, loss 3.9724013805389404, acc=0.06111111119389534, loss=3.9724013805389404
train: epoch 30, loss 2.367002487182617, acc=0.18549999594688416, loss=2.367002487182617
test: epoch 30, loss 3.9715888500213623, acc=0.06111111119389534, loss=3.9715888500213623
train: epoch 31, loss 2.3626649379730225, acc=0.18488888442516327, loss=2.3626649379730225
test: epoch 31, loss 3.9912984371185303, acc=0.05833333358168602, loss=3.9912984371185303
train: epoch 32, loss 2.363018751144409, acc=0.185555562376976, loss=2.363018751144409
test: epoch 32, loss 3.98331618309021, acc=0.07222222536802292, loss=3.98331618309021
train: epoch 33, loss 2.3425235748291016, acc=0.18727777898311615, loss=2.3425235748291016
test: epoch 33, loss 4.067774772644043, acc=0.06388889253139496, loss=4.067774772644043
train: epoch 34, loss 2.348297119140625, acc=0.19033333659172058, loss=2.348297119140625
test: epoch 34, loss 4.016829967498779, acc=0.06388889253139496, loss=4.016829967498779
train: epoch 35, loss 2.3394603729248047, acc=0.1875, loss=2.3394603729248047
test: epoch 35, loss 4.045912742614746, acc=0.06111111119389534, loss=4.045912742614746
train: epoch 36, loss 2.320988893508911, acc=0.1960555613040924, loss=2.320988893508911
test: epoch 36, loss 4.139129161834717, acc=0.0694444477558136, loss=4.139129161834717
train: epoch 37, loss 2.3331291675567627, acc=0.18783333897590637, loss=2.3331291675567627
test: epoch 37, loss 4.111311912536621, acc=0.0694444477558136, loss=4.111311912536621
train: epoch 38, loss 2.328808546066284, acc=0.19349999725818634, loss=2.328808546066284
test: epoch 38, loss 3.903533697128296, acc=0.06666667014360428, loss=3.903533697128296
train: epoch 39, loss 2.317833423614502, acc=0.19300000369548798, loss=2.317833423614502
test: epoch 39, loss 3.954371452331543, acc=0.0833333358168602, loss=3.954371452331543
train: epoch 40, loss 2.312049388885498, acc=0.19511111080646515, loss=2.312049388885498
test: epoch 40, loss 4.101592063903809, acc=0.06388889253139496, loss=4.101592063903809
train: epoch 41, loss 2.315063714981079, acc=0.1957777738571167, loss=2.315063714981079
test: epoch 41, loss 4.035075664520264, acc=0.06111111119389534, loss=4.035075664520264
train: epoch 42, loss 2.312873363494873, acc=0.19861111044883728, loss=2.312873363494873
test: epoch 42, loss 3.938476085662842, acc=0.06388889253139496, loss=3.938476085662842
train: epoch 43, loss 2.298394203186035, acc=0.20033332705497742, loss=2.298394203186035
test: epoch 43, loss 3.9099881649017334, acc=0.07777778059244156, loss=3.9099881649017334
train: epoch 44, loss 2.299380302429199, acc=0.20016667246818542, loss=2.299380302429199
test: epoch 44, loss 3.9352316856384277, acc=0.08055555820465088, loss=3.9352316856384277
train: epoch 45, loss 2.3035061359405518, acc=0.19877777993679047, loss=2.3035061359405518
test: epoch 45, loss 3.9192655086517334, acc=0.07500000298023224, loss=3.9192655086517334
train: epoch 46, loss 2.2885818481445312, acc=0.20133332908153534, loss=2.2885818481445312
test: epoch 46, loss 4.0012922286987305, acc=0.0555555559694767, loss=4.0012922286987305
train: epoch 47, loss 2.283397912979126, acc=0.19949999451637268, loss=2.283397912979126
test: epoch 47, loss 4.101870059967041, acc=0.05833333358168602, loss=4.101870059967041
train: epoch 48, loss 2.284236431121826, acc=0.1988888829946518, loss=2.284236431121826
test: epoch 48, loss 4.02628231048584, acc=0.05833333358168602, loss=4.02628231048584
train: epoch 49, loss 2.2782540321350098, acc=0.2047777771949768, loss=2.2782540321350098
test: epoch 49, loss 4.083542346954346, acc=0.06388889253139496, loss=4.083542346954346
train: epoch 50, loss 2.2657313346862793, acc=0.20605555176734924, loss=2.2657313346862793
test: epoch 50, loss 4.11085844039917, acc=0.0555555559694767, loss=4.11085844039917
train: epoch 51, loss 2.277127742767334, acc=0.203166663646698, loss=2.277127742767334
test: epoch 51, loss 3.779052257537842, acc=0.07500000298023224, loss=3.779052257537842
train: epoch 52, loss 2.262319564819336, acc=0.2038888931274414, loss=2.262319564819336
test: epoch 52, loss 4.063149929046631, acc=0.06388889253139496, loss=4.063149929046631
train: epoch 53, loss 2.251574754714966, acc=0.20944444835186005, loss=2.251574754714966
test: epoch 53, loss 4.114891529083252, acc=0.06111111119389534, loss=4.114891529083252
train: epoch 54, loss 2.2660129070281982, acc=0.21072222292423248, loss=2.2660129070281982
test: epoch 54, loss 4.098798751831055, acc=0.05833333358168602, loss=4.098798751831055
train: epoch 55, loss 2.2611494064331055, acc=0.20883333683013916, loss=2.2611494064331055
test: epoch 55, loss 4.102840423583984, acc=0.07777778059244156, loss=4.102840423583984
train: epoch 56, loss 2.2511374950408936, acc=0.20872221887111664, loss=2.2511374950408936
test: epoch 56, loss 3.857865571975708, acc=0.0555555559694767, loss=3.857865571975708
train: epoch 57, loss 2.244436740875244, acc=0.21183332800865173, loss=2.244436740875244
test: epoch 57, loss 4.081888198852539, acc=0.05833333358168602, loss=4.081888198852539
train: epoch 58, loss 2.2404513359069824, acc=0.21238888800144196, loss=2.2404513359069824
test: epoch 58, loss 3.879389524459839, acc=0.05833333358168602, loss=3.879389524459839
train: epoch 59, loss 2.250722885131836, acc=0.21488888561725616, loss=2.250722885131836
test: epoch 59, loss 3.904995918273926, acc=0.06666667014360428, loss=3.904995918273926
train: epoch 60, loss 2.235940456390381, acc=0.2154444456100464, loss=2.235940456390381
test: epoch 60, loss 3.9040586948394775, acc=0.0555555559694767, loss=3.9040586948394775
train: epoch 61, loss 2.2219085693359375, acc=0.2152777761220932, loss=2.2219085693359375
test: epoch 61, loss 3.979825973510742, acc=0.05000000074505806, loss=3.979825973510742
train: epoch 62, loss 2.2193405628204346, acc=0.21994444727897644, loss=2.2193405628204346
test: epoch 62, loss 4.000241756439209, acc=0.07777778059244156, loss=4.000241756439209
train: epoch 63, loss 2.2312073707580566, acc=0.21400000154972076, loss=2.2312073707580566
test: epoch 63, loss 4.0218682289123535, acc=0.07777778059244156, loss=4.0218682289123535
train: epoch 64, loss 2.221055269241333, acc=0.21833333373069763, loss=2.221055269241333
test: epoch 64, loss 3.9192416667938232, acc=0.04722222313284874, loss=3.9192416667938232
train: epoch 65, loss 2.212864875793457, acc=0.22466666996479034, loss=2.212864875793457
test: epoch 65, loss 3.9011428356170654, acc=0.05000000074505806, loss=3.9011428356170654
train: epoch 66, loss 2.223241090774536, acc=0.2161666601896286, loss=2.223241090774536
test: epoch 66, loss 3.971540689468384, acc=0.06388889253139496, loss=3.971540689468384
train: epoch 67, loss 2.2002358436584473, acc=0.2233888953924179, loss=2.2002358436584473
test: epoch 67, loss 4.050454616546631, acc=0.04722222313284874, loss=4.050454616546631
train: epoch 68, loss 2.2058918476104736, acc=0.22233332693576813, loss=2.2058918476104736
test: epoch 68, loss 4.026195049285889, acc=0.07222222536802292, loss=4.026195049285889
train: epoch 69, loss 2.2130212783813477, acc=0.22483333945274353, loss=2.2130212783813477
test: epoch 69, loss 3.9555723667144775, acc=0.07222222536802292, loss=3.9555723667144775
train: epoch 70, loss 2.205338716506958, acc=0.2197222262620926, loss=2.205338716506958
test: epoch 70, loss 4.146812915802002, acc=0.04444444552063942, loss=4.146812915802002
train: epoch 71, loss 2.225473642349243, acc=0.22433333098888397, loss=2.225473642349243
