# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=32", "--temperature=1", "--temp_decay=0.995", "--one_hot=false", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=2070207265, receiver_embed_dim=32, temp_decay=0.995, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.314850091934204, acc=0.05461111292243004, loss=3.314850091934204
test: epoch 1, loss 3.1052510738372803, acc=0.08055555820465088, loss=3.1052510738372803
train: epoch 2, loss 2.5907983779907227, acc=0.1245555579662323, loss=2.5907983779907227
test: epoch 2, loss 2.5214014053344727, acc=0.13333334028720856, loss=2.5214014053344727
train: epoch 3, loss 2.258498430252075, acc=0.17766666412353516, loss=2.258498430252075
test: epoch 3, loss 2.368985652923584, acc=0.14722222089767456, loss=2.368985652923584
train: epoch 4, loss 2.0399529933929443, acc=0.21905554831027985, loss=2.0399529933929443
test: epoch 4, loss 2.2676799297332764, acc=0.14722222089767456, loss=2.2676799297332764
train: epoch 5, loss 1.8921340703964233, acc=0.25361111760139465, loss=1.8921340703964233
test: epoch 5, loss 2.131728410720825, acc=0.17777778208255768, loss=2.131728410720825
train: epoch 6, loss 1.7603201866149902, acc=0.28522223234176636, loss=1.7603201866149902
test: epoch 6, loss 2.2836551666259766, acc=0.17777778208255768, loss=2.2836551666259766
train: epoch 7, loss 1.6870651245117188, acc=0.3063333332538605, loss=1.6870651245117188
test: epoch 7, loss 2.1110310554504395, acc=0.16388888657093048, loss=2.1110310554504395
train: epoch 8, loss 1.6117349863052368, acc=0.33205556869506836, loss=1.6117349863052368
test: epoch 8, loss 2.168081521987915, acc=0.2222222238779068, loss=2.168081521987915
train: epoch 9, loss 1.5396075248718262, acc=0.3584444522857666, loss=1.5396075248718262
test: epoch 9, loss 2.0454485416412354, acc=0.23055554926395416, loss=2.0454485416412354
train: epoch 10, loss 1.3638912439346313, acc=0.45366665720939636, loss=1.3638912439346313
test: epoch 10, loss 1.773626446723938, acc=0.3027777671813965, loss=1.773626446723938
train: epoch 11, loss 1.1816562414169312, acc=0.5228888988494873, loss=1.1816562414169312
test: epoch 11, loss 1.6134003400802612, acc=0.3305555582046509, loss=1.6134003400802612
train: epoch 12, loss 1.0817798376083374, acc=0.5537777543067932, loss=1.0817798376083374
test: epoch 12, loss 1.6684589385986328, acc=0.3305555582046509, loss=1.6684589385986328
train: epoch 13, loss 1.0281254053115845, acc=0.569944441318512, loss=1.0281254053115845
test: epoch 13, loss 1.6937154531478882, acc=0.32777777314186096, loss=1.6937154531478882
train: epoch 14, loss 0.977229654788971, acc=0.5958333611488342, loss=0.977229654788971
test: epoch 14, loss 1.707980751991272, acc=0.33888888359069824, loss=1.707980751991272
train: epoch 15, loss 0.9600402116775513, acc=0.5970555543899536, loss=0.9600402116775513
test: epoch 15, loss 1.578989028930664, acc=0.3305555582046509, loss=1.578989028930664
train: epoch 16, loss 0.9147460460662842, acc=0.6122221946716309, loss=0.9147460460662842
test: epoch 16, loss 1.7032742500305176, acc=0.3333333432674408, loss=1.7032742500305176
train: epoch 17, loss 0.8757038712501526, acc=0.6255555748939514, loss=0.8757038712501526
test: epoch 17, loss 1.7506768703460693, acc=0.3305555582046509, loss=1.7506768703460693
train: epoch 18, loss 0.8712431192398071, acc=0.621833324432373, loss=0.8712431192398071
test: epoch 18, loss 1.8890833854675293, acc=0.3333333432674408, loss=1.8890833854675293
train: epoch 19, loss 0.85098797082901, acc=0.6349999904632568, loss=0.85098797082901
test: epoch 19, loss 1.7181317806243896, acc=0.33888888359069824, loss=1.7181317806243896
train: epoch 20, loss 0.8467957973480225, acc=0.6297222375869751, loss=0.8467957973480225
