# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=128", "--temperature=1", "--temp_decay=1", "--one_hot=1", "--n_layers=1"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=1, optimizer='adam', preemptable=False, random_seed=1666560808, receiver_embed_dim=128, save_run=0, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=1, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=1666560808, receiver_embed_dim=128, save_run=False, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.5599029064178467, acc=0.04677777737379074, loss=3.5599029064178467
test: epoch 1, loss 3.496837854385376, acc=0.04722222313284874, loss=3.496837854385376
train: epoch 2, loss 3.497671604156494, acc=0.05005555599927902, loss=3.497671604156494
test: epoch 2, loss 3.2685914039611816, acc=0.06388889253139496, loss=3.2685914039611816
train: epoch 3, loss 3.4781901836395264, acc=0.05255555734038353, loss=3.4781901836395264
test: epoch 3, loss 3.0689728260040283, acc=0.0833333358168602, loss=3.0689728260040283
train: epoch 4, loss 3.415806531906128, acc=0.05305555462837219, loss=3.415806531906128
test: epoch 4, loss 3.2404608726501465, acc=0.03611111268401146, loss=3.2404608726501465
train: epoch 5, loss 3.26009464263916, acc=0.06611111015081406, loss=3.26009464263916
test: epoch 5, loss 3.885899543762207, acc=0.04722222313284874, loss=3.885899543762207
train: epoch 6, loss 3.067187786102295, acc=0.08638888597488403, loss=3.067187786102295
test: epoch 6, loss 4.2494215965271, acc=0.0416666679084301, loss=4.2494215965271
train: epoch 7, loss 2.9431774616241455, acc=0.09877777844667435, loss=2.9431774616241455
test: epoch 7, loss 4.092345714569092, acc=0.02777777798473835, loss=4.092345714569092
train: epoch 8, loss 2.8522374629974365, acc=0.1102222204208374, loss=2.8522374629974365
test: epoch 8, loss 4.232306957244873, acc=0.03333333507180214, loss=4.232306957244873
train: epoch 9, loss 2.761685371398926, acc=0.12227778136730194, loss=2.761685371398926
test: epoch 9, loss 4.072790145874023, acc=0.03333333507180214, loss=4.072790145874023
train: epoch 10, loss 2.695953369140625, acc=0.1316666603088379, loss=2.695953369140625
test: epoch 10, loss 4.109842300415039, acc=0.03333333507180214, loss=4.109842300415039
train: epoch 11, loss 2.660065174102783, acc=0.1335555613040924, loss=2.660065174102783
test: epoch 11, loss 3.999856948852539, acc=0.05833333358168602, loss=3.999856948852539
train: epoch 12, loss 2.6252784729003906, acc=0.14344444870948792, loss=2.6252784729003906
test: epoch 12, loss 4.255792140960693, acc=0.02222222276031971, loss=4.255792140960693
train: epoch 13, loss 2.577470302581787, acc=0.14572222530841827, loss=2.577470302581787
test: epoch 13, loss 4.043707370758057, acc=0.02222222276031971, loss=4.043707370758057
train: epoch 14, loss 2.5501463413238525, acc=0.14933332800865173, loss=2.5501463413238525
test: epoch 14, loss 4.022543907165527, acc=0.03055555559694767, loss=4.022543907165527
train: epoch 15, loss 2.524829387664795, acc=0.1588333398103714, loss=2.524829387664795
test: epoch 15, loss 3.9351627826690674, acc=0.0416666679084301, loss=3.9351627826690674
train: epoch 16, loss 2.4953627586364746, acc=0.16705556213855743, loss=2.4953627586364746
test: epoch 16, loss 3.9846231937408447, acc=0.04444444552063942, loss=3.9846231937408447
train: epoch 17, loss 2.4730305671691895, acc=0.1666666716337204, loss=2.4730305671691895
test: epoch 17, loss 4.005947589874268, acc=0.04444444552063942, loss=4.005947589874268
train: epoch 18, loss 2.4593513011932373, acc=0.16883333027362823, loss=2.4593513011932373
test: epoch 18, loss 3.9270179271698, acc=0.05833333358168602, loss=3.9270179271698
train: epoch 19, loss 2.4345762729644775, acc=0.17455555498600006, loss=2.4345762729644775
