# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=128", "--temperature=1.5", "--temp_decay=0.995", "--one_hot=1", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=1, optimizer='adam', preemptable=False, random_seed=648779147, receiver_embed_dim=128, save_run=0, temp_decay=0.995, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=648779147, receiver_embed_dim=128, save_run=False, temp_decay=0.995, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.0492565631866455, acc=0.0976666659116745, loss=3.0492565631866455
test: epoch 1, loss 2.7595582008361816, acc=0.125, loss=2.7595582008361816
train: epoch 2, loss 1.6909164190292358, acc=0.3213333189487457, loss=1.6909164190292358
test: epoch 2, loss 2.506349802017212, acc=0.1666666716337204, loss=2.506349802017212
train: epoch 3, loss 1.346486210823059, acc=0.4486111104488373, loss=1.346486210823059
test: epoch 3, loss 2.699706554412842, acc=0.18333333730697632, loss=2.699706554412842
train: epoch 4, loss 1.1645147800445557, acc=0.5272777676582336, loss=1.1645147800445557
test: epoch 4, loss 2.3746159076690674, acc=0.23888888955116272, loss=2.3746159076690674
train: epoch 5, loss 1.0264207124710083, acc=0.5899999737739563, loss=1.0264207124710083
test: epoch 5, loss 2.3787283897399902, acc=0.21944443881511688, loss=2.3787283897399902
train: epoch 6, loss 0.9255008101463318, acc=0.6349444389343262, loss=0.9255008101463318
test: epoch 6, loss 2.0594887733459473, acc=0.28611111640930176, loss=2.0594887733459473
train: epoch 7, loss 0.8343848586082458, acc=0.6741111278533936, loss=0.8343848586082458
test: epoch 7, loss 2.054955005645752, acc=0.31111112236976624, loss=2.054955005645752
train: epoch 8, loss 0.7582322955131531, acc=0.7016111016273499, loss=0.7582322955131531
test: epoch 8, loss 2.152538537979126, acc=0.32499998807907104, loss=2.152538537979126
train: epoch 9, loss 0.7090632319450378, acc=0.7246111035346985, loss=0.7090632319450378
test: epoch 9, loss 2.1150996685028076, acc=0.3166666626930237, loss=2.1150996685028076
train: epoch 10, loss 0.6489354968070984, acc=0.7450555562973022, loss=0.6489354968070984
test: epoch 10, loss 2.0076663494110107, acc=0.3472222089767456, loss=2.0076663494110107
train: epoch 11, loss 0.6209194660186768, acc=0.7584444284439087, loss=0.6209194660186768
test: epoch 11, loss 1.9448012113571167, acc=0.3583333194255829, loss=1.9448012113571167
train: epoch 12, loss 0.5857819318771362, acc=0.7760000228881836, loss=0.5857819318771362
test: epoch 12, loss 1.7680039405822754, acc=0.3888888955116272, loss=1.7680039405822754
train: epoch 13, loss 0.5476361513137817, acc=0.7871111035346985, loss=0.5476361513137817
test: epoch 13, loss 1.8567756414413452, acc=0.39722222089767456, loss=1.8567756414413452
train: epoch 14, loss 0.5100452899932861, acc=0.8032777905464172, loss=0.5100452899932861
test: epoch 14, loss 1.7660771608352661, acc=0.375, loss=1.7660771608352661
train: epoch 15, loss 0.48884114623069763, acc=0.8156111240386963, loss=0.48884114623069763
test: epoch 15, loss 1.7878071069717407, acc=0.375, loss=1.7878071069717407
train: epoch 16, loss 0.4560193419456482, acc=0.8227777481079102, loss=0.4560193419456482
test: epoch 16, loss 1.8482661247253418, acc=0.41111111640930176, loss=1.8482661247253418
train: epoch 17, loss 0.4600415527820587, acc=0.8261111378669739, loss=0.4600415527820587
test: epoch 17, loss 1.8272258043289185, acc=0.39722222089767456, loss=1.8272258043289185
train: epoch 18, loss 0.4397888481616974, acc=0.83561110496521, loss=0.4397888481616974
test: epoch 18, loss 1.756540298461914, acc=0.39722222089767456, loss=1.756540298461914
train: epoch 19, loss 0.42454618215560913, acc=0.8443333506584167, loss=0.42454618215560913
test: epoch 19, loss 1.8555858135223389, acc=0.36944442987442017, loss=1.8555858135223389
train: epoch 20, loss 0.4082998037338257, acc=0.8463888764381409, loss=0.4082998037338257
test: epoch 20, loss 1.8468899726867676, acc=0.4472222328186035, loss=1.8468899726867676
train: epoch 21, loss 0.38340672850608826, acc=0.8557222485542297, loss=0.38340672850608826
test: epoch 21, loss 1.7660038471221924, acc=0.4472222328186035, loss=1.7660038471221924
train: epoch 22, loss 0.3856971263885498, acc=0.855388879776001, loss=0.3856971263885498
test: epoch 22, loss 1.6555172204971313, acc=0.43888887763023376, loss=1.6555172204971313
train: epoch 23, loss 0.36045992374420166, acc=0.8661666512489319, loss=0.36045992374420166
test: epoch 23, loss 1.863076090812683, acc=0.4333333373069763, loss=1.863076090812683
train: epoch 24, loss 0.3602696359157562, acc=0.8675000071525574, loss=0.3602696359157562
test: epoch 24, loss 1.7527179718017578, acc=0.46666666865348816, loss=1.7527179718017578
train: epoch 25, loss 0.3454116880893707, acc=0.871222198009491, loss=0.3454116880893707
test: epoch 25, loss 1.628144383430481, acc=0.44999998807907104, loss=1.628144383430481
train: epoch 26, loss 0.3446026146411896, acc=0.8733333349227905, loss=0.3446026146411896
test: epoch 26, loss 1.5307000875473022, acc=0.519444465637207, loss=1.5307000875473022
train: epoch 27, loss 0.31364408135414124, acc=0.8849999904632568, loss=0.31364408135414124
test: epoch 27, loss 1.5465725660324097, acc=0.4972222149372101, loss=1.5465725660324097
train: epoch 28, loss 0.30572667717933655, acc=0.887499988079071, loss=0.30572667717933655
test: epoch 28, loss 1.5769366025924683, acc=0.5249999761581421, loss=1.5769366025924683
train: epoch 29, loss 0.30669623613357544, acc=0.8865000009536743, loss=0.30669623613357544
test: epoch 29, loss 1.5748947858810425, acc=0.5138888955116272, loss=1.5748947858810425
train: epoch 30, loss 0.3079192340373993, acc=0.8892222046852112, loss=0.3079192340373993
test: epoch 30, loss 1.5329102277755737, acc=0.49166667461395264, loss=1.5329102277755737
train: epoch 31, loss 0.28872615098953247, acc=0.8956111073493958, loss=0.28872615098953247
test: epoch 31, loss 1.5123518705368042, acc=0.5694444179534912, loss=1.5123518705368042
train: epoch 32, loss 0.26630517840385437, acc=0.9027777910232544, loss=0.26630517840385437
test: epoch 32, loss 1.5542192459106445, acc=0.5277777910232544, loss=1.5542192459106445
train: epoch 33, loss 0.2645726203918457, acc=0.9065555334091187, loss=0.2645726203918457
test: epoch 33, loss 1.432708978652954, acc=0.5722222328186035, loss=1.432708978652954
train: epoch 34, loss 0.2500995993614197, acc=0.9081110954284668, loss=0.2500995993614197
test: epoch 34, loss 1.7724838256835938, acc=0.5, loss=1.7724838256835938
train: epoch 35, loss 0.2483666092157364, acc=0.9086111187934875, loss=0.2483666092157364
test: epoch 35, loss 1.6238332986831665, acc=0.5416666865348816, loss=1.6238332986831665
train: epoch 36, loss 0.2425989806652069, acc=0.9088888764381409, loss=0.2425989806652069
test: epoch 36, loss 1.3863413333892822, acc=0.5666666626930237, loss=1.3863413333892822
train: epoch 37, loss 0.2438809871673584, acc=0.9123333096504211, loss=0.2438809871673584
test: epoch 37, loss 1.6633986234664917, acc=0.5277777910232544, loss=1.6633986234664917
train: epoch 38, loss 0.22890444099903107, acc=0.9175000190734863, loss=0.22890444099903107
