# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=128", "--temperature=1.5", "--temp_decay=0.99", "--one_hot=true", "--n_layers=4"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=4, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=1899151947, receiver_embed_dim=128, temp_decay=0.99, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.8100974559783936, acc=0.09572222083806992, loss=2.8100974559783936
test: epoch 1, loss 2.7354419231414795, acc=0.12777778506278992, loss=2.7354419231414795
train: epoch 2, loss 1.883270025253296, acc=0.23938888311386108, loss=1.883270025253296
test: epoch 2, loss 2.1837072372436523, acc=0.22777777910232544, loss=2.1837072372436523
train: epoch 3, loss 1.4564210176467896, acc=0.36933332681655884, loss=1.4564210176467896
test: epoch 3, loss 2.0932838916778564, acc=0.2666666805744171, loss=2.0932838916778564
train: epoch 4, loss 1.2069402933120728, acc=0.4721111059188843, loss=1.2069402933120728
test: epoch 4, loss 1.6509567499160767, acc=0.4138889014720917, loss=1.6509567499160767
train: epoch 5, loss 0.9487788677215576, acc=0.5817221999168396, loss=0.9487788677215576
test: epoch 5, loss 1.5219099521636963, acc=0.4194444417953491, loss=1.5219099521636963
train: epoch 6, loss 0.8251215219497681, acc=0.6320000290870667, loss=0.8251215219497681
test: epoch 6, loss 1.2692461013793945, acc=0.42222222685813904, loss=1.2692461013793945
train: epoch 7, loss 0.6836400628089905, acc=0.6971666812896729, loss=0.6836400628089905
test: epoch 7, loss 1.2169686555862427, acc=0.5222222208976746, loss=1.2169686555862427
train: epoch 8, loss 0.6235368251800537, acc=0.7340555787086487, loss=0.6235368251800537
test: epoch 8, loss 0.9780026078224182, acc=0.5361111164093018, loss=0.9780026078224182
train: epoch 9, loss 0.517148494720459, acc=0.7801111340522766, loss=0.517148494720459
test: epoch 9, loss 0.8978814482688904, acc=0.6499999761581421, loss=0.8978814482688904
train: epoch 10, loss 0.47266483306884766, acc=0.7972221970558167, loss=0.47266483306884766
test: epoch 10, loss 0.8192780017852783, acc=0.6222222447395325, loss=0.8192780017852783
train: epoch 11, loss 0.4406725764274597, acc=0.8094444274902344, loss=0.4406725764274597
test: epoch 11, loss 1.0190672874450684, acc=0.6583333611488342, loss=1.0190672874450684
train: epoch 12, loss 0.44123417139053345, acc=0.8112221956253052, loss=0.44123417139053345
test: epoch 12, loss 0.7206573486328125, acc=0.6972222328186035, loss=0.7206573486328125
train: epoch 13, loss 0.41862449049949646, acc=0.8214444518089294, loss=0.41862449049949646
test: epoch 13, loss 0.7958702445030212, acc=0.7250000238418579, loss=0.7958702445030212
train: epoch 14, loss 0.397843599319458, acc=0.8367778062820435, loss=0.397843599319458
test: epoch 14, loss 0.7289564609527588, acc=0.699999988079071, loss=0.7289564609527588
train: epoch 15, loss 0.3582693934440613, acc=0.847000002861023, loss=0.3582693934440613
test: epoch 15, loss 0.792144775390625, acc=0.7583333253860474, loss=0.792144775390625
train: epoch 16, loss 0.336379736661911, acc=0.8530555367469788, loss=0.336379736661911
test: epoch 16, loss 0.6206706166267395, acc=0.7444444298744202, loss=0.6206706166267395
train: epoch 17, loss 0.33506572246551514, acc=0.8557222485542297, loss=0.33506572246551514
test: epoch 17, loss 0.6423845887184143, acc=0.7527777552604675, loss=0.6423845887184143
train: epoch 18, loss 0.3222706615924835, acc=0.8561111092567444, loss=0.3222706615924835
test: epoch 18, loss 0.6390233635902405, acc=0.7833333611488342, loss=0.6390233635902405
train: epoch 19, loss 0.34351152181625366, acc=0.8529444336891174, loss=0.34351152181625366
test: epoch 19, loss 0.46299058198928833, acc=0.7805555462837219, loss=0.46299058198928833
train: epoch 20, loss 0.30093705654144287, acc=0.8668333292007446, loss=0.30093705654144287
test: epoch 20, loss 0.5122451186180115, acc=0.769444465637207, loss=0.5122451186180115
train: epoch 21, loss 0.29814064502716064, acc=0.8676666617393494, loss=0.29814064502716064
test: epoch 21, loss 0.47137290239334106, acc=0.7888888716697693, loss=0.47137290239334106
train: epoch 22, loss 0.3059489130973816, acc=0.863444447517395, loss=0.3059489130973816
test: epoch 22, loss 0.5127864480018616, acc=0.7805555462837219, loss=0.5127864480018616
train: epoch 23, loss 0.31772923469543457, acc=0.8569444417953491, loss=0.31772923469543457
test: epoch 23, loss 0.4186404049396515, acc=0.7944444417953491, loss=0.4186404049396515
train: epoch 24, loss 0.2901429831981659, acc=0.8668333292007446, loss=0.2901429831981659
test: epoch 24, loss 0.5909647345542908, acc=0.7944444417953491, loss=0.5909647345542908
train: epoch 25, loss 0.3186796009540558, acc=0.8650555610656738, loss=0.3186796009540558
test: epoch 25, loss 0.5671194791793823, acc=0.7944444417953491, loss=0.5671194791793823
train: epoch 26, loss 0.3176702558994293, acc=0.862666666507721, loss=0.3176702558994293
test: epoch 26, loss 0.6064475178718567, acc=0.7972221970558167, loss=0.6064475178718567
train: epoch 27, loss 0.27812033891677856, acc=0.8738889098167419, loss=0.27812033891677856
test: epoch 27, loss 0.5494369864463806, acc=0.7944444417953491, loss=0.5494369864463806
train: epoch 28, loss 0.2867152690887451, acc=0.8723888993263245, loss=0.2867152690887451
test: epoch 28, loss 0.5376024842262268, acc=0.800000011920929, loss=0.5376024842262268
train: epoch 29, loss 0.30857300758361816, acc=0.8604999780654907, loss=0.30857300758361816
test: epoch 29, loss 0.5709487199783325, acc=0.7749999761581421, loss=0.5709487199783325
