# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=32", "--temperature=1.5", "--temp_decay=1", "--one_hot=false", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=304664894, receiver_embed_dim=32, temp_decay=1.0, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.0697989463806152, acc=0.07855555415153503, loss=3.0697989463806152
test: epoch 1, loss 3.3866472244262695, acc=0.11388888955116272, loss=3.3866472244262695
train: epoch 2, loss 2.065643072128296, acc=0.21227778494358063, loss=2.065643072128296
test: epoch 2, loss 3.20723557472229, acc=0.1388888955116272, loss=3.20723557472229
train: epoch 3, loss 1.7673795223236084, acc=0.27977776527404785, loss=1.7673795223236084
test: epoch 3, loss 2.9988715648651123, acc=0.13611111044883728, loss=2.9988715648651123
train: epoch 4, loss 1.6124902963638306, acc=0.3131110966205597, loss=1.6124902963638306
test: epoch 4, loss 3.3867242336273193, acc=0.18888889253139496, loss=3.3867242336273193
train: epoch 5, loss 1.4871405363082886, acc=0.3445555567741394, loss=1.4871405363082886
test: epoch 5, loss 2.943397045135498, acc=0.17777778208255768, loss=2.943397045135498
train: epoch 6, loss 1.3999894857406616, acc=0.3677777647972107, loss=1.3999894857406616
test: epoch 6, loss 3.3539252281188965, acc=0.17777778208255768, loss=3.3539252281188965
train: epoch 7, loss 1.3297970294952393, acc=0.3961666524410248, loss=1.3297970294952393
test: epoch 7, loss 3.0284547805786133, acc=0.17777778208255768, loss=3.0284547805786133
train: epoch 8, loss 1.2676405906677246, acc=0.4233333468437195, loss=1.2676405906677246
test: epoch 8, loss 2.950162172317505, acc=0.18333333730697632, loss=2.950162172317505
train: epoch 9, loss 1.2365570068359375, acc=0.44538888335227966, loss=1.2365570068359375
test: epoch 9, loss 2.7446563243865967, acc=0.21944443881511688, loss=2.7446563243865967
train: epoch 10, loss 1.1465895175933838, acc=0.49900001287460327, loss=1.1465895175933838
test: epoch 10, loss 3.2379796504974365, acc=0.20000000298023224, loss=3.2379796504974365
train: epoch 11, loss 1.0527162551879883, acc=0.5470555424690247, loss=1.0527162551879883
test: epoch 11, loss 2.7725796699523926, acc=0.23888888955116272, loss=2.7725796699523926
train: epoch 12, loss 0.957495391368866, acc=0.6143888831138611, loss=0.957495391368866
test: epoch 12, loss 2.7019076347351074, acc=0.23055554926395416, loss=2.7019076347351074
train: epoch 13, loss 0.7923652529716492, acc=0.6874444484710693, loss=0.7923652529716492
test: epoch 13, loss 2.3091351985931396, acc=0.2944444417953491, loss=2.3091351985931396
train: epoch 14, loss 0.6896995902061462, acc=0.7328888773918152, loss=0.6896995902061462
test: epoch 14, loss 2.611201286315918, acc=0.27222222089767456, loss=2.611201286315918
train: epoch 15, loss 0.6351943016052246, acc=0.746666669845581, loss=0.6351943016052246
test: epoch 15, loss 2.4597227573394775, acc=0.3194444477558136, loss=2.4597227573394775
train: epoch 16, loss 0.5852400064468384, acc=0.7680555582046509, loss=0.5852400064468384
test: epoch 16, loss 2.134963274002075, acc=0.34166666865348816, loss=2.134963274002075
train: epoch 17, loss 0.5483016967773438, acc=0.781166672706604, loss=0.5483016967773438
test: epoch 17, loss 2.0170373916625977, acc=0.3361110985279083, loss=2.0170373916625977
train: epoch 18, loss 0.5345168113708496, acc=0.7857778072357178, loss=0.5345168113708496
test: epoch 18, loss 2.0002005100250244, acc=0.3499999940395355, loss=2.0002005100250244
train: epoch 19, loss 0.4959377646446228, acc=0.804277777671814, loss=0.4959377646446228
test: epoch 19, loss 1.8034498691558838, acc=0.34166666865348816, loss=1.8034498691558838
train: epoch 20, loss 0.4755346179008484, acc=0.8136110901832581, loss=0.4755346179008484
test: epoch 20, loss 1.8691056966781616, acc=0.3777777850627899, loss=1.8691056966781616
train: epoch 21, loss 0.45651739835739136, acc=0.8252221941947937, loss=0.45651739835739136
test: epoch 21, loss 2.0524940490722656, acc=0.35555556416511536, loss=2.0524940490722656
train: epoch 22, loss 0.4337090849876404, acc=0.8305000066757202, loss=0.4337090849876404
test: epoch 22, loss 1.806934118270874, acc=0.3888888955116272, loss=1.806934118270874
train: epoch 23, loss 0.4132740795612335, acc=0.8364999890327454, loss=0.4132740795612335
test: epoch 23, loss 1.7079603672027588, acc=0.39444443583488464, loss=1.7079603672027588
train: epoch 24, loss 0.37999460101127625, acc=0.8483333587646484, loss=0.37999460101127625
test: epoch 24, loss 1.632477879524231, acc=0.3888888955116272, loss=1.632477879524231
train: epoch 25, loss 0.38005128502845764, acc=0.8442222476005554, loss=0.38005128502845764
test: epoch 25, loss 1.7163573503494263, acc=0.4027777910232544, loss=1.7163573503494263
train: epoch 26, loss 0.36898183822631836, acc=0.852222204208374, loss=0.36898183822631836
test: epoch 26, loss 1.5433149337768555, acc=0.4888888895511627, loss=1.5433149337768555
train: epoch 27, loss 0.34549590945243835, acc=0.8579999804496765, loss=0.34549590945243835
test: epoch 27, loss 1.7383257150650024, acc=0.48055556416511536, loss=1.7383257150650024
train: epoch 28, loss 0.32937225699424744, acc=0.8689444661140442, loss=0.32937225699424744
test: epoch 28, loss 1.3755302429199219, acc=0.4749999940395355, loss=1.3755302429199219
train: epoch 29, loss 0.322502076625824, acc=0.8679444193840027, loss=0.322502076625824
test: epoch 29, loss 1.3592841625213623, acc=0.5, loss=1.3592841625213623
train: epoch 30, loss 0.30662551522254944, acc=0.8772222399711609, loss=0.30662551522254944
test: epoch 30, loss 1.336195945739746, acc=0.519444465637207, loss=1.336195945739746
train: epoch 31, loss 0.2988587021827698, acc=0.8848333358764648, loss=0.2988587021827698
test: epoch 31, loss 1.3344929218292236, acc=0.47777777910232544, loss=1.3344929218292236
train: epoch 32, loss 0.2950240671634674, acc=0.8879444599151611, loss=0.2950240671634674
test: epoch 32, loss 1.3692864179611206, acc=0.5555555820465088, loss=1.3692864179611206
train: epoch 33, loss 0.2836915850639343, acc=0.8964444398880005, loss=0.2836915850639343
test: epoch 33, loss 1.3342609405517578, acc=0.5055555701255798, loss=1.3342609405517578
train: epoch 34, loss 0.25673118233680725, acc=0.9068333506584167, loss=0.25673118233680725
test: epoch 34, loss 1.3397380113601685, acc=0.5222222208976746, loss=1.3397380113601685
train: epoch 35, loss 0.2651173770427704, acc=0.9075000286102295, loss=0.2651173770427704
test: epoch 35, loss 1.303989291191101, acc=0.5777778029441833, loss=1.303989291191101
train: epoch 36, loss 0.22861911356449127, acc=0.9218888878822327, loss=0.22861911356449127
test: epoch 36, loss 1.4952448606491089, acc=0.5527777671813965, loss=1.4952448606491089
train: epoch 37, loss 0.22455960512161255, acc=0.921999990940094, loss=0.22455960512161255
test: epoch 37, loss 1.6724692583084106, acc=0.49166667461395264, loss=1.6724692583084106
train: epoch 38, loss 0.24008382856845856, acc=0.9169999957084656, loss=0.24008382856845856
test: epoch 38, loss 2.0159389972686768, acc=0.4861111044883728, loss=2.0159389972686768
train: epoch 39, loss 0.19765467941761017, acc=0.9338333606719971, loss=0.19765467941761017
test: epoch 39, loss 1.4115629196166992, acc=0.5333333611488342, loss=1.4115629196166992
train: epoch 40, loss 0.21113720536231995, acc=0.9271110892295837, loss=0.21113720536231995
test: epoch 40, loss 1.5184121131896973, acc=0.5638889074325562, loss=1.5184121131896973
train: epoch 41, loss 0.19839560985565186, acc=0.9332777857780457, loss=0.19839560985565186
test: epoch 41, loss 1.5530558824539185, acc=0.5249999761581421, loss=1.5530558824539185
train: epoch 42, loss 0.19851407408714294, acc=0.9314444661140442, loss=0.19851407408714294
