# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=32", "--temperature=2.0", "--temp_decay=1", "--one_hot=true", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=985043804, receiver_embed_dim=32, temp_decay=1.0, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.359029769897461, acc=0.055166665464639664, loss=3.359029769897461
test: epoch 1, loss 3.9661865234375, acc=0.06666667014360428, loss=3.9661865234375
train: epoch 2, loss 2.5492982864379883, acc=0.16672222316265106, loss=2.5492982864379883
test: epoch 2, loss 5.32948637008667, acc=0.07500000298023224, loss=5.32948637008667
train: epoch 3, loss 1.8818596601486206, acc=0.3334444463253021, loss=1.8818596601486206
test: epoch 3, loss 4.520956993103027, acc=0.11388888955116272, loss=4.520956993103027
train: epoch 4, loss 1.4858328104019165, acc=0.44866666197776794, loss=1.4858328104019165
test: epoch 4, loss 4.518693923950195, acc=0.14722222089767456, loss=4.518693923950195
train: epoch 5, loss 1.2700470685958862, acc=0.5218889117240906, loss=1.2700470685958862
test: epoch 5, loss 4.062987804412842, acc=0.1527777761220932, loss=4.062987804412842
train: epoch 6, loss 1.1195015907287598, acc=0.5825555324554443, loss=1.1195015907287598
test: epoch 6, loss 3.96901798248291, acc=0.17222222685813904, loss=3.96901798248291
train: epoch 7, loss 0.9800593256950378, acc=0.6380000114440918, loss=0.9800593256950378
test: epoch 7, loss 4.064050674438477, acc=0.15833333134651184, loss=4.064050674438477
train: epoch 8, loss 0.8832502365112305, acc=0.675611138343811, loss=0.8832502365112305
test: epoch 8, loss 3.9745094776153564, acc=0.16111111640930176, loss=3.9745094776153564
train: epoch 9, loss 0.8081029653549194, acc=0.7025555372238159, loss=0.8081029653549194
test: epoch 9, loss 3.9030849933624268, acc=0.1805555522441864, loss=3.9030849933624268
train: epoch 10, loss 0.7384747862815857, acc=0.7306666374206543, loss=0.7384747862815857
test: epoch 10, loss 3.7550530433654785, acc=0.19166666269302368, loss=3.7550530433654785
train: epoch 11, loss 0.6878719329833984, acc=0.7496111392974854, loss=0.6878719329833984
test: epoch 11, loss 3.5503175258636475, acc=0.22499999403953552, loss=3.5503175258636475
train: epoch 12, loss 0.6461003422737122, acc=0.7709444165229797, loss=0.6461003422737122
test: epoch 12, loss 3.5775296688079834, acc=0.21111111342906952, loss=3.5775296688079834
train: epoch 13, loss 0.6009723544120789, acc=0.7878888845443726, loss=0.6009723544120789
test: epoch 13, loss 3.5754294395446777, acc=0.2083333283662796, loss=3.5754294395446777
train: epoch 14, loss 0.5632272958755493, acc=0.8009999990463257, loss=0.5632272958755493
test: epoch 14, loss 3.508387327194214, acc=0.2222222238779068, loss=3.508387327194214
train: epoch 15, loss 0.5390350222587585, acc=0.8117222189903259, loss=0.5390350222587585
test: epoch 15, loss 3.4664318561553955, acc=0.23888888955116272, loss=3.4664318561553955
