# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=32", "--temperature=1", "--temp_decay=1", "--one_hot=false", "--n_layers=4"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=4, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=226764163, receiver_embed_dim=32, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.246995210647583, acc=0.056388888508081436, loss=3.246995210647583
test: epoch 1, loss 2.9740560054779053, acc=0.07777778059244156, loss=2.9740560054779053
train: epoch 2, loss 2.83223295211792, acc=0.09016666561365128, loss=2.83223295211792
test: epoch 2, loss 3.330127716064453, acc=0.08888889104127884, loss=3.330127716064453
train: epoch 3, loss 2.54761004447937, acc=0.13272222876548767, loss=2.54761004447937
test: epoch 3, loss 2.68168306350708, acc=0.0972222238779068, loss=2.68168306350708
train: epoch 4, loss 2.3744056224823, acc=0.17122222483158112, loss=2.3744056224823
test: epoch 4, loss 2.6927077770233154, acc=0.1111111119389534, loss=2.6927077770233154
train: epoch 5, loss 2.2611563205718994, acc=0.18933333456516266, loss=2.2611563205718994
test: epoch 5, loss 2.632390022277832, acc=0.13055555522441864, loss=2.632390022277832
train: epoch 6, loss 2.1724066734313965, acc=0.20572222769260406, loss=2.1724066734313965
test: epoch 6, loss 2.6301631927490234, acc=0.13611111044883728, loss=2.6301631927490234
train: epoch 7, loss 2.0984766483306885, acc=0.21638889610767365, loss=2.0984766483306885
test: epoch 7, loss 2.5116348266601562, acc=0.15000000596046448, loss=2.5116348266601562
train: epoch 8, loss 2.0387725830078125, acc=0.23944444954395294, loss=2.0387725830078125
test: epoch 8, loss 2.502948045730591, acc=0.14722222089767456, loss=2.502948045730591
train: epoch 9, loss 1.9702610969543457, acc=0.2741111218929291, loss=1.9702610969543457
test: epoch 9, loss 2.2129924297332764, acc=0.21666666865348816, loss=2.2129924297332764
train: epoch 10, loss 1.9123995304107666, acc=0.3073333203792572, loss=1.9123995304107666
test: epoch 10, loss 2.1249117851257324, acc=0.2361111044883728, loss=2.1249117851257324
train: epoch 11, loss 1.8171144723892212, acc=0.3431110978126526, loss=1.8171144723892212
test: epoch 11, loss 2.245344400405884, acc=0.23888888955116272, loss=2.245344400405884
train: epoch 12, loss 1.7367525100708008, acc=0.3702777922153473, loss=1.7367525100708008
test: epoch 12, loss 2.0871732234954834, acc=0.25833332538604736, loss=2.0871732234954834
train: epoch 13, loss 1.6532267332077026, acc=0.4058888852596283, loss=1.6532267332077026
test: epoch 13, loss 1.9723577499389648, acc=0.30000001192092896, loss=1.9723577499389648
