# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=32", "--temperature=2.0", "--temp_decay=0.99", "--one_hot=false", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=1097162521, receiver_embed_dim=32, temp_decay=0.99, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.380035638809204, acc=0.04938888922333717, loss=3.380035638809204
test: epoch 1, loss 4.240089416503906, acc=0.04444444552063942, loss=4.240089416503906
train: epoch 2, loss 2.607720375061035, acc=0.17972221970558167, loss=2.607720375061035
test: epoch 2, loss 4.6055755615234375, acc=0.07500000298023224, loss=4.6055755615234375
train: epoch 3, loss 1.7612900733947754, acc=0.355222225189209, loss=1.7612900733947754
test: epoch 3, loss 3.9034221172332764, acc=0.1388888955116272, loss=3.9034221172332764
train: epoch 4, loss 1.4390668869018555, acc=0.4456111192703247, loss=1.4390668869018555
test: epoch 4, loss 3.6876256465911865, acc=0.12777778506278992, loss=3.6876256465911865
train: epoch 5, loss 1.2795145511627197, acc=0.4965555667877197, loss=1.2795145511627197
test: epoch 5, loss 3.629843235015869, acc=0.15000000596046448, loss=3.629843235015869
train: epoch 6, loss 1.1685523986816406, acc=0.545722246170044, loss=1.1685523986816406
test: epoch 6, loss 3.5992813110351562, acc=0.15555556118488312, loss=3.5992813110351562
train: epoch 7, loss 1.0800811052322388, acc=0.5804444551467896, loss=1.0800811052322388
test: epoch 7, loss 3.5916988849639893, acc=0.1527777761220932, loss=3.5916988849639893
train: epoch 8, loss 1.0113905668258667, acc=0.6124444603919983, loss=1.0113905668258667
test: epoch 8, loss 3.3689067363739014, acc=0.19166666269302368, loss=3.3689067363739014
train: epoch 9, loss 0.9627849459648132, acc=0.628944456577301, loss=0.9627849459648132
test: epoch 9, loss 3.3488528728485107, acc=0.17222222685813904, loss=3.3488528728485107
train: epoch 10, loss 0.9066190719604492, acc=0.6542778015136719, loss=0.9066190719604492
test: epoch 10, loss 3.1983087062835693, acc=0.19722221791744232, loss=3.1983087062835693
train: epoch 11, loss 0.8640265464782715, acc=0.6750555634498596, loss=0.8640265464782715
test: epoch 11, loss 3.2421977519989014, acc=0.21111111342906952, loss=3.2421977519989014
train: epoch 12, loss 0.841694712638855, acc=0.6834999918937683, loss=0.841694712638855
test: epoch 12, loss 3.4776651859283447, acc=0.18888889253139496, loss=3.4776651859283447
train: epoch 13, loss 0.8007940649986267, acc=0.7041110992431641, loss=0.8007940649986267
test: epoch 13, loss 3.209326982498169, acc=0.22499999403953552, loss=3.209326982498169
train: epoch 14, loss 0.779628574848175, acc=0.7039999961853027, loss=0.779628574848175
test: epoch 14, loss 3.184605598449707, acc=0.24722221493721008, loss=3.184605598449707
train: epoch 15, loss 0.7413713335990906, acc=0.7315555810928345, loss=0.7413713335990906
test: epoch 15, loss 3.139411449432373, acc=0.23055554926395416, loss=3.139411449432373
train: epoch 16, loss 0.7359308004379272, acc=0.7316666841506958, loss=0.7359308004379272
test: epoch 16, loss 2.9655206203460693, acc=0.2361111044883728, loss=2.9655206203460693
train: epoch 17, loss 0.7126162052154541, acc=0.7402777671813965, loss=0.7126162052154541
test: epoch 17, loss 2.921231508255005, acc=0.26944443583488464, loss=2.921231508255005
train: epoch 18, loss 0.6847177743911743, acc=0.754277765750885, loss=0.6847177743911743
test: epoch 18, loss 2.6694984436035156, acc=0.26944443583488464, loss=2.6694984436035156
train: epoch 19, loss 0.6716528534889221, acc=0.7581111192703247, loss=0.6716528534889221
test: epoch 19, loss 2.7577085494995117, acc=0.2750000059604645, loss=2.7577085494995117
train: epoch 20, loss 0.6600714921951294, acc=0.7604444622993469, loss=0.6600714921951294
test: epoch 20, loss 2.5070488452911377, acc=0.2888889014720917, loss=2.5070488452911377
train: epoch 21, loss 0.6373921036720276, acc=0.7710000276565552, loss=0.6373921036720276
