# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=64", "--temperature=1", "--temp_decay=1", "--one_hot=true", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=679629933, receiver_embed_dim=64, temp_decay=1.0, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.0568692684173584, acc=0.07361111044883728, loss=3.0568692684173584
test: epoch 1, loss 2.814042806625366, acc=0.0972222238779068, loss=2.814042806625366
train: epoch 2, loss 2.197749137878418, acc=0.1809999942779541, loss=2.197749137878418
test: epoch 2, loss 2.450092315673828, acc=0.14722222089767456, loss=2.450092315673828
train: epoch 3, loss 1.7703030109405518, acc=0.30061110854148865, loss=1.7703030109405518
test: epoch 3, loss 2.039161443710327, acc=0.21388888359069824, loss=2.039161443710327
train: epoch 4, loss 1.4829840660095215, acc=0.3886111080646515, loss=1.4829840660095215
test: epoch 4, loss 2.153944253921509, acc=0.22777777910232544, loss=2.153944253921509
train: epoch 5, loss 1.3136606216430664, acc=0.4386666715145111, loss=1.3136606216430664
test: epoch 5, loss 1.7819932699203491, acc=0.2888889014720917, loss=1.7819932699203491
train: epoch 6, loss 1.205601692199707, acc=0.48188889026641846, loss=1.205601692199707
test: epoch 6, loss 1.7853792905807495, acc=0.28611111640930176, loss=1.7853792905807495
train: epoch 7, loss 1.095141887664795, acc=0.5274999737739563, loss=1.095141887664795
test: epoch 7, loss 1.7132192850112915, acc=0.2944444417953491, loss=1.7132192850112915
train: epoch 8, loss 1.010521411895752, acc=0.5560555458068848, loss=1.010521411895752
