# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=100", "--receiver_embed_dim=64", "--temperature=1", "--temp_decay=0.99", "--one_hot=true", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_summands=2, n_symbols=100, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=187839614, receiver_embed_dim=64, temp_decay=0.99, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.1217973232269287, acc=0.07022222131490707, loss=3.1217973232269287
test: epoch 1, loss 2.695417642593384, acc=0.1111111119389534, loss=2.695417642593384
train: epoch 2, loss 2.1896378993988037, acc=0.1792222261428833, loss=2.1896378993988037
test: epoch 2, loss 2.456589937210083, acc=0.14722222089767456, loss=2.456589937210083
train: epoch 3, loss 1.793485403060913, acc=0.29366666078567505, loss=1.793485403060913
test: epoch 3, loss 2.128298759460449, acc=0.21666666865348816, loss=2.128298759460449
train: epoch 4, loss 1.508644700050354, acc=0.37805554270744324, loss=1.508644700050354
test: epoch 4, loss 1.9459673166275024, acc=0.2527777850627899, loss=1.9459673166275024
train: epoch 5, loss 1.3254457712173462, acc=0.4390000104904175, loss=1.3254457712173462
test: epoch 5, loss 1.8030728101730347, acc=0.2805555462837219, loss=1.8030728101730347
train: epoch 6, loss 1.1978590488433838, acc=0.47288888692855835, loss=1.1978590488433838
test: epoch 6, loss 1.728073000907898, acc=0.2916666567325592, loss=1.728073000907898
train: epoch 7, loss 1.1332006454467773, acc=0.4942222237586975, loss=1.1332006454467773
test: epoch 7, loss 1.8910661935806274, acc=0.2777777910232544, loss=1.8910661935806274
train: epoch 8, loss 1.076627492904663, acc=0.5192777514457703, loss=1.076627492904663
test: epoch 8, loss 1.6370443105697632, acc=0.3055555522441864, loss=1.6370443105697632
train: epoch 9, loss 1.0253570079803467, acc=0.5369444489479065, loss=1.0253570079803467
test: epoch 9, loss 1.7293061017990112, acc=0.3027777671813965, loss=1.7293061017990112
train: epoch 10, loss 0.9890180230140686, acc=0.5490000247955322, loss=0.9890180230140686
test: epoch 10, loss 1.870635986328125, acc=0.32777777314186096, loss=1.870635986328125
train: epoch 11, loss 0.9639116525650024, acc=0.5594444274902344, loss=0.9639116525650024
test: epoch 11, loss 1.72454833984375, acc=0.3194444477558136, loss=1.72454833984375
train: epoch 12, loss 0.9474703073501587, acc=0.5647777915000916, loss=0.9474703073501587
test: epoch 12, loss 1.8733720779418945, acc=0.3333333432674408, loss=1.8733720779418945
train: epoch 13, loss 0.9261159300804138, acc=0.5716666579246521, loss=0.9261159300804138
test: epoch 13, loss 1.8330234289169312, acc=0.3194444477558136, loss=1.8330234289169312
train: epoch 14, loss 0.9163023829460144, acc=0.5699999928474426, loss=0.9163023829460144
test: epoch 14, loss 1.6717954874038696, acc=0.3222222328186035, loss=1.6717954874038696
train: epoch 15, loss 0.9084649085998535, acc=0.5785555839538574, loss=0.9084649085998535
test: epoch 15, loss 1.7726267576217651, acc=0.3194444477558136, loss=1.7726267576217651
train: epoch 16, loss 0.9048906564712524, acc=0.5789999961853027, loss=0.9048906564712524
test: epoch 16, loss 1.725511074066162, acc=0.30000001192092896, loss=1.725511074066162
train: epoch 17, loss 0.9128313064575195, acc=0.5756111145019531, loss=0.9128313064575195
test: epoch 17, loss 1.7334606647491455, acc=0.3611111044883728, loss=1.7334606647491455
