# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=64", "--temperature=1", "--temp_decay=0.99", "--one_hot=1", "--n_layers=2"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=1, optimizer='adam', preemptable=False, random_seed=1011764258, receiver_embed_dim=64, save_run=0, temp_decay=0.99, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=2, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=1011764258, receiver_embed_dim=64, save_run=False, temp_decay=0.99, temperature=1.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 3.4520342350006104, acc=0.04794444516301155, loss=3.4520342350006104
test: epoch 1, loss 3.6303040981292725, acc=0.03888889029622078, loss=3.6303040981292725
train: epoch 2, loss 2.7727386951446533, acc=0.12416666746139526, loss=2.7727386951446533
test: epoch 2, loss 2.751026153564453, acc=0.08611111342906952, loss=2.751026153564453
train: epoch 3, loss 2.1054201126098633, acc=0.2352222204208374, loss=2.1054201126098633
test: epoch 3, loss 2.3563287258148193, acc=0.1388888955116272, loss=2.3563287258148193
train: epoch 4, loss 1.8499066829681396, acc=0.2829444408416748, loss=1.8499066829681396
test: epoch 4, loss 2.32893443107605, acc=0.15000000596046448, loss=2.32893443107605
train: epoch 5, loss 1.7339009046554565, acc=0.30944445729255676, loss=1.7339009046554565
test: epoch 5, loss 2.308515787124634, acc=0.16388888657093048, loss=2.308515787124634
train: epoch 6, loss 1.6360042095184326, acc=0.3448888957500458, loss=1.6360042095184326
test: epoch 6, loss 2.24249267578125, acc=0.18333333730697632, loss=2.24249267578125
train: epoch 7, loss 1.5696974992752075, acc=0.36544445157051086, loss=1.5696974992752075
test: epoch 7, loss 2.13651704788208, acc=0.18888889253139496, loss=2.13651704788208
train: epoch 8, loss 1.5044081211090088, acc=0.39088889956474304, loss=1.5044081211090088
test: epoch 8, loss 2.0130136013031006, acc=0.21388888359069824, loss=2.0130136013031006
train: epoch 9, loss 1.4578840732574463, acc=0.4042222201824188, loss=1.4578840732574463
test: epoch 9, loss 1.9219944477081299, acc=0.2527777850627899, loss=1.9219944477081299
train: epoch 10, loss 1.3907452821731567, acc=0.4317777752876282, loss=1.3907452821731567
