# ["--N=20", "--n_epochs=150", "--batch_size=32", "--lr=0.001", "--n_symbols=200", "--receiver_embed_dim=64", "--temperature=1.5", "--temp_decay=1", "--one_hot=0", "--n_layers=3"]
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=0, optimizer='adam', preemptable=False, random_seed=861104250, receiver_embed_dim=64, save_run=0, temp_decay=1.0, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
Namespace(N=20, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=150, n_layers=3, n_runs=1, n_summands=2, n_symbols=200, no_cuda=False, one_hot=False, optimizer='adam', preemptable=False, random_seed=861104250, receiver_embed_dim=64, save_run=False, temp_decay=1.0, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.426448345184326, acc=0.15627777576446533, loss=2.426448345184326
test: epoch 1, loss 4.558320999145508, acc=0.07500000298023224, loss=4.558320999145508
train: epoch 2, loss 1.7008541822433472, acc=0.31211110949516296, loss=1.7008541822433472
test: epoch 2, loss 3.0256457328796387, acc=0.1805555522441864, loss=3.0256457328796387
train: epoch 3, loss 1.4396946430206299, acc=0.40405556559562683, loss=1.4396946430206299
test: epoch 3, loss 2.6931254863739014, acc=0.20555555820465088, loss=2.6931254863739014
train: epoch 4, loss 1.2708194255828857, acc=0.47038888931274414, loss=1.2708194255828857
test: epoch 4, loss 3.0563900470733643, acc=0.18611110746860504, loss=3.0563900470733643
train: epoch 5, loss 1.1779472827911377, acc=0.5192777514457703, loss=1.1779472827911377
test: epoch 5, loss 2.953498125076294, acc=0.2638888955116272, loss=2.953498125076294
train: epoch 6, loss 1.090225338935852, acc=0.5556666851043701, loss=1.090225338935852
test: epoch 6, loss 2.803434371948242, acc=0.28333333134651184, loss=2.803434371948242
train: epoch 7, loss 1.0494879484176636, acc=0.5776110887527466, loss=1.0494879484176636
test: epoch 7, loss 2.4693591594696045, acc=0.2222222238779068, loss=2.4693591594696045
train: epoch 8, loss 0.9666212797164917, acc=0.6115555763244629, loss=0.9666212797164917
test: epoch 8, loss 2.480356454849243, acc=0.2638888955116272, loss=2.480356454849243
train: epoch 9, loss 0.9458199739456177, acc=0.6260555386543274, loss=0.9458199739456177
test: epoch 9, loss 2.593510389328003, acc=0.2750000059604645, loss=2.593510389328003
train: epoch 10, loss 0.9356377720832825, acc=0.6216111183166504, loss=0.9356377720832825
test: epoch 10, loss 2.425931215286255, acc=0.27222222089767456, loss=2.425931215286255
train: epoch 11, loss 0.8457460999488831, acc=0.6575555801391602, loss=0.8457460999488831
test: epoch 11, loss 2.585721969604492, acc=0.25555557012557983, loss=2.585721969604492
train: epoch 12, loss 0.8258015513420105, acc=0.6738888621330261, loss=0.8258015513420105
test: epoch 12, loss 2.2289509773254395, acc=0.3194444477558136, loss=2.2289509773254395
train: epoch 13, loss 0.8035433888435364, acc=0.6879444718360901, loss=0.8035433888435364
test: epoch 13, loss 1.962958812713623, acc=0.36666667461395264, loss=1.962958812713623
train: epoch 14, loss 0.7626804113388062, acc=0.6974999904632568, loss=0.7626804113388062
test: epoch 14, loss 2.2838501930236816, acc=0.29722222685813904, loss=2.2838501930236816
train: epoch 15, loss 0.7141777276992798, acc=0.7180555462837219, loss=0.7141777276992798
test: epoch 15, loss 1.7465159893035889, acc=0.3638888895511627, loss=1.7465159893035889
train: epoch 16, loss 0.6974607110023499, acc=0.7239444255828857, loss=0.6974607110023499
test: epoch 16, loss 1.7755277156829834, acc=0.32777777314186096, loss=1.7755277156829834
train: epoch 17, loss 0.7108480930328369, acc=0.7174999713897705, loss=0.7108480930328369
test: epoch 17, loss 1.7120118141174316, acc=0.33888888359069824, loss=1.7120118141174316
train: epoch 18, loss 0.6724307537078857, acc=0.7317222356796265, loss=0.6724307537078857
test: epoch 18, loss 1.8753740787506104, acc=0.38055557012557983, loss=1.8753740787506104
train: epoch 19, loss 0.6395629048347473, acc=0.7480000257492065, loss=0.6395629048347473
test: epoch 19, loss 2.205517530441284, acc=0.3583333194255829, loss=2.205517530441284
train: epoch 20, loss 0.6335460543632507, acc=0.7448333501815796, loss=0.6335460543632507
test: epoch 20, loss 1.8962786197662354, acc=0.3611111044883728, loss=1.8962786197662354
train: epoch 21, loss 0.5862411856651306, acc=0.7685555815696716, loss=0.5862411856651306
test: epoch 21, loss 3.111544609069824, acc=0.23333333432674408, loss=3.111544609069824
train: epoch 22, loss 0.6083251237869263, acc=0.7547777891159058, loss=0.6083251237869263
test: epoch 22, loss 1.9974501132965088, acc=0.4027777910232544, loss=1.9974501132965088
train: epoch 23, loss 0.5785227417945862, acc=0.7700555324554443, loss=0.5785227417945862
test: epoch 23, loss 2.55336856842041, acc=0.27222222089767456, loss=2.55336856842041
train: epoch 24, loss 0.5629633069038391, acc=0.7759444713592529, loss=0.5629633069038391
test: epoch 24, loss 2.2222087383270264, acc=0.3472222089767456, loss=2.2222087383270264
train: epoch 25, loss 0.5586662292480469, acc=0.7779444456100464, loss=0.5586662292480469
test: epoch 25, loss 2.1553707122802734, acc=0.32777777314186096, loss=2.1553707122802734
train: epoch 26, loss 0.5207902789115906, acc=0.7906110882759094, loss=0.5207902789115906
test: epoch 26, loss 1.832669973373413, acc=0.3027777671813965, loss=1.832669973373413
train: epoch 27, loss 0.5313253998756409, acc=0.788611114025116, loss=0.5313253998756409
test: epoch 27, loss 1.9149775505065918, acc=0.28333333134651184, loss=1.9149775505065918
train: epoch 28, loss 0.5152363777160645, acc=0.7960000038146973, loss=0.5152363777160645
test: epoch 28, loss 1.6907339096069336, acc=0.31111112236976624, loss=1.6907339096069336
train: epoch 29, loss 0.505966067314148, acc=0.7962222099304199, loss=0.505966067314148
test: epoch 29, loss 1.8001482486724854, acc=0.42222222685813904, loss=1.8001482486724854
train: epoch 30, loss 0.4836292564868927, acc=0.8062222003936768, loss=0.4836292564868927
test: epoch 30, loss 1.815101146697998, acc=0.36666667461395264, loss=1.815101146697998
train: epoch 31, loss 0.4831139147281647, acc=0.8096110820770264, loss=0.4831139147281647
test: epoch 31, loss 2.139819622039795, acc=0.42222222685813904, loss=2.139819622039795
train: epoch 32, loss 0.47278034687042236, acc=0.8127777576446533, loss=0.47278034687042236
test: epoch 32, loss 1.5835320949554443, acc=0.5222222208976746, loss=1.5835320949554443
train: epoch 33, loss 0.47828856110572815, acc=0.8107222318649292, loss=0.47828856110572815
test: epoch 33, loss 1.7088749408721924, acc=0.39444443583488464, loss=1.7088749408721924
train: epoch 34, loss 0.43854084610939026, acc=0.824833333492279, loss=0.43854084610939026
test: epoch 34, loss 1.6941070556640625, acc=0.4138889014720917, loss=1.6941070556640625
train: epoch 35, loss 0.44950565695762634, acc=0.8247777819633484, loss=0.44950565695762634
test: epoch 35, loss 1.4445065259933472, acc=0.45277777314186096, loss=1.4445065259933472
train: epoch 36, loss 0.4384957551956177, acc=0.8286111354827881, loss=0.4384957551956177
test: epoch 36, loss 1.695871353149414, acc=0.4000000059604645, loss=1.695871353149414
train: epoch 37, loss 0.4326506555080414, acc=0.8298333287239075, loss=0.4326506555080414
test: epoch 37, loss 1.9839576482772827, acc=0.4027777910232544, loss=1.9839576482772827
train: epoch 38, loss 0.42696040868759155, acc=0.8312777876853943, loss=0.42696040868759155
test: epoch 38, loss 1.6103509664535522, acc=0.42500001192092896, loss=1.6103509664535522
train: epoch 39, loss 0.43272581696510315, acc=0.8303889036178589, loss=0.43272581696510315
test: epoch 39, loss 1.7910994291305542, acc=0.4444444477558136, loss=1.7910994291305542
train: epoch 40, loss 0.4026569426059723, acc=0.8463333249092102, loss=0.4026569426059723
test: epoch 40, loss 1.3969529867172241, acc=0.45277777314186096, loss=1.3969529867172241
train: epoch 41, loss 0.3810693919658661, acc=0.8533889055252075, loss=0.3810693919658661
test: epoch 41, loss 1.4411346912384033, acc=0.4833333194255829, loss=1.4411346912384033
train: epoch 42, loss 0.3951750695705414, acc=0.8463333249092102, loss=0.3951750695705414
test: epoch 42, loss 1.7489005327224731, acc=0.42222222685813904, loss=1.7489005327224731
train: epoch 43, loss 0.3909875750541687, acc=0.8455555438995361, loss=0.3909875750541687
test: epoch 43, loss 1.4669493436813354, acc=0.3722222149372101, loss=1.4669493436813354
train: epoch 44, loss 0.3857027590274811, acc=0.8505555391311646, loss=0.3857027590274811
test: epoch 44, loss 2.1525180339813232, acc=0.32777777314186096, loss=2.1525180339813232
train: epoch 45, loss 0.37063243985176086, acc=0.8575555682182312, loss=0.37063243985176086
test: epoch 45, loss 1.6744046211242676, acc=0.49444442987442017, loss=1.6744046211242676
train: epoch 46, loss 0.3672424554824829, acc=0.859333336353302, loss=0.3672424554824829
test: epoch 46, loss 1.366847038269043, acc=0.5361111164093018, loss=1.366847038269043
train: epoch 47, loss 0.37943828105926514, acc=0.850777804851532, loss=0.37943828105926514
test: epoch 47, loss 1.5080645084381104, acc=0.4305555522441864, loss=1.5080645084381104
train: epoch 48, loss 0.33498987555503845, acc=0.8715000152587891, loss=0.33498987555503845
test: epoch 48, loss 1.8022946119308472, acc=0.4555555582046509, loss=1.8022946119308472
train: epoch 49, loss 0.3677968680858612, acc=0.8560000061988831, loss=0.3677968680858612
test: epoch 49, loss 1.8533741235733032, acc=0.4583333432674408, loss=1.8533741235733032
train: epoch 50, loss 0.37865686416625977, acc=0.8503333330154419, loss=0.37865686416625977
test: epoch 50, loss 1.5341342687606812, acc=0.4333333373069763, loss=1.5341342687606812
train: epoch 51, loss 0.32276836037635803, acc=0.8742222189903259, loss=0.32276836037635803
test: epoch 51, loss 1.4002081155776978, acc=0.4583333432674408, loss=1.4002081155776978
train: epoch 52, loss 0.33969831466674805, acc=0.871222198009491, loss=0.33969831466674805
test: epoch 52, loss 1.4419907331466675, acc=0.4888888895511627, loss=1.4419907331466675
train: epoch 53, loss 0.3241729140281677, acc=0.8731111288070679, loss=0.3241729140281677
