# ["--N=20", "--n_epochs=250", "--batch_size=32", "--lr=0.001", "--receiver_embed_dim=64", "--temperature=2.0", "--temp_decay=0.995", "--one_hot=1", "--n_layers=3", "--save_run=1", "--n_symbols=41"]
Namespace(n_summands=2, N=20, test_split=0.1, data_scaling=50, one_hot=True, receiver_embed_dim=64, n_layers=3, n_symbols=41, temperature=2.0, temp_decay=0.995, early_stopping_acc=0.99, n_runs=1, save_run=True, random_seed=207805375, checkpoint_dir=None, preemptable=False, checkpoint_freq=0, validation_freq=1, n_epochs=250, load_from_checkpoint=None, no_cuda=True, batch_size=32, optimizer='adam', lr=0.001, update_freq=1, vocab_size=10, max_len=1, tensorboard=False, tensorboard_dir='runs/', distributed_port=18363, fp16=False, cuda=False, device=device(type='cpu'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'))
train: epoch 1, loss 2.832152843475342, acc=0.10221662372350693, loss=2.832152843475342
test: epoch 1, loss 3.819279909133911, acc=0.08564231544733047, loss=3.819279909133911
train: epoch 2, loss 1.6259208917617798, acc=0.35350126028060913, loss=1.6259208917617798
test: epoch 2, loss 3.5514705181121826, acc=0.1536523997783661, loss=3.5514705181121826
train: epoch 3, loss 1.1845322847366333, acc=0.4994458556175232, loss=1.1845322847366333
test: epoch 3, loss 3.895432472229004, acc=0.16624684631824493, loss=3.895432472229004
train: epoch 4, loss 0.9028550386428833, acc=0.6172292232513428, loss=0.9028550386428833
test: epoch 4, loss 3.0075948238372803, acc=0.21158690750598907, loss=3.0075948238372803
train: epoch 5, loss 0.7212446928024292, acc=0.7112342715263367, loss=0.7212446928024292
test: epoch 5, loss 3.0283150672912598, acc=0.254408061504364, loss=3.0283150672912598
train: epoch 6, loss 0.6127399206161499, acc=0.7545592188835144, loss=0.6127399206161499
test: epoch 6, loss 2.7797434329986572, acc=0.23425692319869995, loss=2.7797434329986572
train: epoch 7, loss 0.550835371017456, acc=0.7761712670326233, loss=0.550835371017456
test: epoch 7, loss 2.7235054969787598, acc=0.2795969843864441, loss=2.7235054969787598
train: epoch 8, loss 0.4879949986934662, acc=0.803778350353241, loss=0.4879949986934662
test: epoch 8, loss 2.7048521041870117, acc=0.256926953792572, loss=2.7048521041870117
train: epoch 9, loss 0.4305993318557739, acc=0.8275063037872314, loss=0.4305993318557739
test: epoch 9, loss 2.4349968433380127, acc=0.2770780920982361, loss=2.4349968433380127
train: epoch 10, loss 0.42499619722366333, acc=0.8290176391601562, loss=0.42499619722366333
test: epoch 10, loss 2.9625813961029053, acc=0.251889169216156, loss=2.9625813961029053
train: epoch 11, loss 0.3916584551334381, acc=0.8427203893661499, loss=0.3916584551334381
test: epoch 11, loss 2.176278591156006, acc=0.3375314772129059, loss=2.176278591156006
train: epoch 12, loss 0.35485169291496277, acc=0.856574296951294, loss=0.35485169291496277
test: epoch 12, loss 2.3685715198516846, acc=0.26700252294540405, loss=2.3685715198516846
train: epoch 13, loss 0.3344617486000061, acc=0.864483654499054, loss=0.3344617486000061
test: epoch 13, loss 2.4416189193725586, acc=0.249370276927948, loss=2.4416189193725586
train: epoch 14, loss 0.3408150374889374, acc=0.8640806078910828, loss=0.3408150374889374
test: epoch 14, loss 2.5813658237457275, acc=0.3073047995567322, loss=2.5813658237457275
train: epoch 15, loss 0.32413458824157715, acc=0.8692191243171692, loss=0.32413458824157715
test: epoch 15, loss 2.467155933380127, acc=0.32997480034828186, loss=2.467155933380127
train: epoch 16, loss 0.2864002585411072, acc=0.8881611824035645, loss=0.2864002585411072
test: epoch 16, loss 2.107642889022827, acc=0.3501259386539459, loss=2.107642889022827
train: epoch 17, loss 0.2977191209793091, acc=0.8806045055389404, loss=0.2977191209793091
test: epoch 17, loss 2.5096192359924316, acc=0.4005037844181061, loss=2.5096192359924316
train: epoch 18, loss 0.256558358669281, acc=0.8997985124588013, loss=0.256558358669281
test: epoch 18, loss 2.6093645095825195, acc=0.3400503695011139, loss=2.6093645095825195
train: epoch 19, loss 0.2783891260623932, acc=0.8980352878570557, loss=0.2783891260623932
test: epoch 19, loss 2.036219596862793, acc=0.367758184671402, loss=2.036219596862793
train: epoch 20, loss 0.2543051838874817, acc=0.9070025086402893, loss=0.2543051838874817
test: epoch 20, loss 2.4453673362731934, acc=0.3400503695011139, loss=2.4453673362731934
train: epoch 21, loss 0.23738093674182892, acc=0.9161713123321533, loss=0.23738093674182892
test: epoch 21, loss 2.2063205242156982, acc=0.375314861536026, loss=2.2063205242156982
train: epoch 22, loss 0.21910803020000458, acc=0.925743043422699, loss=0.21910803020000458
test: epoch 22, loss 1.9113014936447144, acc=0.4156171381473541, loss=1.9113014936447144
train: epoch 23, loss 0.19631697237491608, acc=0.932090699672699, loss=0.19631697237491608
test: epoch 23, loss 2.3519999980926514, acc=0.38539043068885803, loss=2.3519999980926514
train: epoch 24, loss 0.20534323155879974, acc=0.9288665056228638, loss=0.20534323155879974
test: epoch 24, loss 2.0908937454223633, acc=0.39294710755348206, loss=2.0908937454223633
