# ["--N=80", "--n_epochs=250", "--batch_size=32", "--lr=0.001", "--receiver_embed_dim=64", "--temperature=2.0", "--temp_decay=0.995", "--one_hot=1", "--n_layers=3", "--save_run=1", "--n_symbols=1288"]
Namespace(N=80, batch_size=32, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_scaling=50, device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, early_stopping_acc=0.99, fp16=False, load_from_checkpoint=None, lr=0.001, max_len=1, n_epochs=250, n_layers=3, n_runs=1, n_summands=2, n_symbols=1288, no_cuda=False, one_hot=True, optimizer='adam', preemptable=False, random_seed=852656457, receiver_embed_dim=64, save_run=True, temp_decay=0.995, temperature=2.0, tensorboard=False, tensorboard_dir='runs/', test_split=0.1, update_freq=1, validation_freq=1, vocab_size=10)
train: epoch 1, loss 2.4279160499572754, acc=0.19593225419521332, loss=2.4279160499572754
test: epoch 1, loss 7.425151824951172, acc=0.056562233716249466, loss=7.425151824951172
train: epoch 2, loss 1.3210843801498413, acc=0.42826756834983826, loss=1.3210843801498413
test: epoch 2, loss 6.36731481552124, acc=0.07739204168319702, loss=6.36731481552124
train: epoch 3, loss 1.0827523469924927, acc=0.5254631638526917, loss=1.0827523469924927
test: epoch 3, loss 6.199154853820801, acc=0.10872142016887665, loss=6.199154853820801
train: epoch 4, loss 0.8914670348167419, acc=0.6185706853866577, loss=0.8914670348167419
test: epoch 4, loss 5.071356773376465, acc=0.14005079865455627, loss=5.071356773376465
train: epoch 5, loss 0.7308396100997925, acc=0.7016968727111816, loss=0.7308396100997925
test: epoch 5, loss 5.238527297973633, acc=0.15139712393283844, loss=5.238527297973633
train: epoch 6, loss 0.5910241007804871, acc=0.7654259204864502, loss=0.5910241007804871
test: epoch 6, loss 4.340728282928467, acc=0.15241320431232452, loss=4.340728282928467
train: epoch 7, loss 0.48876699805259705, acc=0.8119491934776306, loss=0.48876699805259705
test: epoch 7, loss 3.968618392944336, acc=0.17933954298496246, loss=3.968618392944336
train: epoch 8, loss 0.40540724992752075, acc=0.8477967977523804, loss=0.40540724992752075
test: epoch 8, loss 4.037832736968994, acc=0.20440304279327393, loss=4.037832736968994
train: epoch 9, loss 0.3464113175868988, acc=0.8731176853179932, loss=0.3464113175868988
test: epoch 9, loss 4.244779109954834, acc=0.16088061034679413, loss=4.244779109954834
train: epoch 10, loss 0.2817161977291107, acc=0.899928867816925, loss=0.2817161977291107
test: epoch 10, loss 3.7493677139282227, acc=0.21016088128089905, loss=3.7493677139282227
train: epoch 11, loss 0.22375807166099548, acc=0.9241287112236023, loss=0.22375807166099548
